"Tag","Stunde","Minute","Sekunde","Grad","Querachse","Ruder","Segel"
23,14,10,50,1,1,1,0
23,14,11,0,1.3,1,1,0
23,14,11,10,0.8,1,1,0
23,14,11,20,0.7,1,1,0
23,14,11,30,0.7,1,1,0
23,14,11,40,0.4,1,1,0
23,14,11,50,0.3,1,1,0
23,14,12,0,0.9,1,1,0
23,14,12,10,0.4,1,1,0
23,14,12,20,0.5,1,1,0
23,14,12,30,0.9,1,1,0
23,14,12,40,0.6,1,1,0
23,14,12,50,0.9,1,1,0
23,14,13,0,0.5,1,1,0
23,14,13,10,1.1,1,1,0
23,14,13,20,1.3,1,1,0
23,14,13,30,1,1,1,0
23,14,13,40,1.1,1,1,0
23,14,13,50,1.2,1,1,0
23,14,14,0,1.3,1,1,0
23,14,14,10,0.2,1,1,0
23,14,14,20,1,1,1,0
23,14,14,30,1.1,1,1,0
23,14,14,40,0.7,1,1,0
23,14,14,50,0.5,1,1,0
23,14,15,0,0.8,1,1,0
23,14,15,10,0.4,1,1,0
23,14,15,20,0.5,1,1,0
23,14,15,30,0.3,1,1,0
23,14,15,40,0.3,1,1,0
23,14,15,50,0.3,1,1,0
23,14,16,10,0.1,1,0,1
23,14,16,20,0.4,1,0,1
23,14,16,30,0.5,1,0,1
23,14,18,30,0.7,1,0,1
23,14,18,40,0.8,1,0,1
23,14,18,50,0.1,1,0,1
23,14,19,0,0.5,1,0,1
23,14,19,10,0.1,1,0,1
23,14,19,20,0.3,1,0,1
23,14,19,30,0.3,1,0,1
23,14,19,40,0.6,1,0,1
23,14,19,50,0.3,1,0,1
23,14,20,0,0.3,1,0,1
23,14,20,10,0.2,1,0,1
23,14,20,20,0.2,1,0,1
23,14,20,30,0.3,1,0,1
23,14,20,40,0.5,1,0,1
23,14,20,50,1,1,0,1
23,14,21,0,1,1,0,1
23,14,21,10,0.7,1,0,1
23,14,21,20,0,1,0,1
23,14,21,30,0.9,1,0,1
23,14,21,40,1.5,1,0,1
23,14,21,50,1,1,0,1
23,14,22,0,1.3,1,0,1
23,14,22,10,1.6,1,0,1
23,14,22,20,3.5,1,0,1
23,14,22,30,2.6,1,0,1
23,14,22,40,0.8,1,0,1
23,14,22,50,1.7,1,0,1
23,14,23,0,1.3,1,0,1
23,14,23,10,1.4,1,0,1
23,14,23,20,1.6,1,0,1
23,14,23,30,0.4,1,0,1
23,14,23,40,1.1,1,0,1
23,14,23,50,1.7,1,0,1
23,14,24,0,1.2,1,0,1
23,14,24,20,1.3,1,0,1
23,14,24,40,1.2,1,0,1
23,14,25,0,0.3,1,0,1
23,14,25,20,0.1,1,0,1
23,14,25,40,1,1,0,1
23,14,26,0,0.9,1,0,1
23,14,26,20,1.2,1,0,1
23,14,26,40,0.7,1,0,1
23,14,27,0,0.6,1,0,1
23,14,27,20,0.2,1,0,1
23,14,27,40,1.2,1,0,1
23,14,28,0,1.2,1,0,1
23,14,28,20,1,1,0,1
23,14,28,40,1.1,1,0,1
23,14,29,0,1.1,1,0,1
23,14,29,20,0.7,1,0,1
23,14,29,40,0.1,1,0,1
23,14,30,0,0.3,1,0,1
23,14,30,20,0.3,1,0,1
23,14,30,40,0.4,1,0,1
23,14,31,0,0,1,0,1
23,14,31,20,0.5,1,0,1
23,14,31,40,0.2,1,0,1
23,14,32,0,0.5,1,0,1
23,14,32,20,0.7,1,0,1
23,14,32,40,1,1,0,1
23,14,33,0,0.8,1,0,1
23,14,33,20,0.9,1,0,1
23,14,33,40,0.4,1,0,1
23,14,34,0,0.2,1,0,1
23,14,34,20,0.1,1,0,1
23,14,34,40,0.4,1,0,1
23,14,35,0,0.2,1,0,1
23,14,35,20,0.1,1,0,1
23,14,35,40,0,1,0,1
23,14,36,0,1.2,1,1,0
23,14,36,20,1,1,1,0
23,14,36,40,0.8,1,1,0
23,14,37,0,0.2,1,1,0
23,14,37,20,0.5,1,1,0
23,14,37,40,0.1,1,1,0
23,14,38,0,0.2,1,1,0
23,14,38,20,0.5,1,1,0
23,14,38,40,0.3,1,1,0
23,14,39,0,1.3,1,1,0
23,14,39,20,1.8,1,1,0
23,14,39,40,1.5,1,1,0
23,14,40,0,1.4,1,1,0
23,14,40,20,1.5,1,1,0
23,14,40,40,1,1,1,0
23,14,41,0,0.7,1,1,0
23,14,41,20,0.3,1,1,0
23,14,41,40,0.6,1,1,0
23,14,42,0,0.4,1,1,0
23,14,42,20,0.5,1,1,0
23,14,42,40,0.4,1,1,0
23,14,43,0,0.5,1,1,0
23,14,43,20,0.5,1,1,0
23,14,43,40,0.3,1,1,0
23,14,44,0,0.3,1,1,0
23,14,44,20,0.5,1,1,0
23,14,44,40,0.6,1,1,0
23,14,45,0,1.1,1,1,0
23,14,45,20,0.8,1,1,0
23,14,45,40,0.9,1,1,0
23,14,46,0,1,1,1,0
23,14,46,20,1,1,1,0
23,14,46,40,1,1,1,0
23,14,47,0,1.2,1,1,0
23,14,47,20,1.2,1,1,0
23,14,47,40,1,1,1,0
23,14,48,0,1.2,1,1,0
23,14,48,20,1.2,1,1,0
23,14,48,40,1.1,1,1,0
23,14,49,0,1.2,1,1,0
23,14,49,20,1.2,1,1,0
23,14,49,40,1.3,1,1,0
23,14,50,0,1.2,1,1,0
23,14,50,20,1.1,1,1,0
23,14,50,40,1.1,1,1,0
23,14,51,0,0.8,1,1,0
23,14,51,20,0.2,1,1,0
23,14,51,40,0.4,1,1,0
23,14,52,0,1,1,1,0
23,14,52,20,0.2,1,1,0
23,14,52,40,0.7,1,1,0
23,14,53,0,1.2,1,1,0
23,14,53,20,0.8,1,1,0
23,14,53,40,1.2,1,1,0
23,14,54,0,1.1,1,1,0
23,14,54,20,1,1,1,0
23,14,54,40,1,1,1,0
23,14,55,0,0.7,1,1,0
23,14,55,20,1,1,1,0
23,14,55,40,1.3,1,1,0
23,14,56,0,1.3,1,1,0
23,14,56,20,0.8,1,1,0
23,14,56,40,1.1,1,1,0
23,14,57,0,1.4,1,1,0
23,14,57,20,1.2,1,1,0
23,14,57,40,2.2,1,1,0
23,14,58,0,1,1,1,0
23,14,58,20,1.2,1,1,0
23,14,58,40,1.4,1,1,0
23,14,59,0,0.7,1,0,0
23,14,59,20,1.2,1,0,0
23,14,59,40,1.5,1,0,0
23,15,0,0,1.2,1,0,0
23,15,0,20,1.4,1,0,0
23,15,0,40,2.2,1,0,0
23,15,1,0,1.7,1,0,0
23,15,1,20,1.6,1,0,0
23,15,2,0,1.2,1,0,0
23,15,2,20,4.4,1,0,0
24,10,30,0,0.1,0,1,0
24,10,30,20,0.3,0,1,0
24,10,30,40,0.3,0,1,0
24,10,31,0,0.2,0,1,0
24,10,31,20,0.5,0,1,0
24,10,31,40,0.3,0,1,0
24,10,32,0,0,0,1,0
24,10,32,20,0.3,0,1,0
24,10,32,40,0.4,0,1,0
24,10,35,0,0.2,0,1,0
24,10,35,20,0.3,0,1,0
24,10,35,40,0,0,1,0
24,10,36,0,0,0,1,0
24,10,37,0,0,0,1,0
24,10,37,20,0.2,0,1,0
24,10,37,40,0.1,0,1,0
24,10,38,0,0,0,1,0
24,10,38,20,0.2,0,1,0
24,10,38,40,0,0,1,0
24,10,39,0,0.3,0,1,0
24,10,39,20,0.2,0,1,0
