Tag;Stunde;Minute;Ruderschlaege/Minute;Segel
19;11;28;15;0
19;11;29;12;0
19;11;30;16;0
19;11;31;13;0
19;11;32;2;0
19;11;33;14;0
19;11;34;7;0
19;11;35;18;0
19;11;36;20;0
19;11;37;6;0
19;12;28;-7;0
19;12;29;18;0
19;12;30;0;0
19;12;31;0;0
19;12;32;0;0
19;12;33;0;0
19;12;34;0;0
19;12;35;31;0
19;12;36;23;0
19;12;37;7;0
19;12;38;0;0
19;12;39;0;0
19;12;40;0;0
19;12;41;28;0
19;12;42;23;0
19;12;43;23;0
19;12;44;21;0
19;-1;-1;23;0
19;-1;-1;24;0
19;-1;-1;25;0
19;-1;-1;24;0
19;-1;-1;19;0
19;-1;-1;19;0
19;-1;-1;19;0
19;-1;-1;20;0
19;-1;-1;19;0
19;-1;-1;23;0
19;-1;-1;24;0
19;-1;-1;19;0
19;-1;-1;0;0
19;-1;-1;15;0
19;-1;-1;33;0
19;-1;-1;20;0
19;-1;-1;24;0
19;-1;-1;21;0
19;-1;-1;27;0
19;-1;-1;21;0
19;-1;-1;20;0
19;-1;-1;28;0
19;-1;-1;23;0
19;-1;-1;25;0
19;-1;-1;7;0
19;-1;-1;6;0
19;-1;-1;36;0
19;-1;-1;23;0
19;-1;-1;18;0
19;-1;-1;30;0
19;-1;-1;-17;0
19;-1;-1;13;0
19;-1;-1;20;0
19;-1;-1;3;0
19;-1;-1;-5;0
19;-1;-1;-64;0
20;11;6;-13;0
20;11;7;-5;0
20;11;8;6;0
20;11;9;7;0
20;11;10;16;0
20;11;11;15;0
20;11;12;18;0
20;11;13;23;0
20;11;14;7;0
20;11;15;-1;0
20;11;16;20;0
20;11;17;-5;0
20;11;18;15;0
20;11;19;16;0
20;11;20;14;0
20;11;21;11;0
20;11;22;13;0
20;11;23;-1;0
20;11;24;-15;0
20;11;25;19;0
20;11;26;19;0
20;11;27;18;0
20;11;28;14;0
20;11;29;-6;0
20;11;30;-13;0
20;11;31;14;0
20;11;32;19;0
20;11;33;20;0
20;11;34;22;0
20;11;35;16;0
20;11;36;6;0
20;11;37;0;0
20;11;38;0;0
20;11;39;-3;0
20;11;40;20;0
20;11;41;26;0
20;11;42;28;0
20;11;43;31;0
20;11;44;23;0
20;11;45;27;0
20;11;46;2;0
20;11;47;0;0
20;11;48;0;0
20;11;49;0;0
20;11;50;0;0
20;11;51;0;0
20;11;52;0;0
20;11;53;7;0
20;11;54;29;0
20;11;55;30;0
20;11;56;31;0
20;11;57;30;0
20;11;58;31;0
20;11;59;33;0
20;12;0;29;0
20;12;1;15;0
20;12;2;0;0
20;12;3;0;0
20;12;4;0;0
20;12;5;0;0
20;12;6;0;0
20;12;7;0;0
20;12;8;0;0
20;12;9;-18;0
20;12;10;10;0
20;12;11;28;0
20;12;12;28;0
20;12;13;10;0
20;12;14;0;0
20;12;15;0;0
20;12;16;0;0
20;12;17;0;0
20;12;18;-4;0
20;12;19;-15;0
20;12;20;26;0
20;12;21;29;0
20;12;22;20;0
20;12;23;0;0
20;12;24;27;0
20;12;25;29;0
20;12;26;20;0
20;12;27;0;0
20;12;28;5;0
20;12;29;17;0
20;12;30;8;0
20;12;31;1;0
20;12;32;17;0
20;12;33;27;0
20;12;34;35;0
20;12;35;15;0
20;12;37;7;0
20;12;38;4;0
20;12;39;26;0
20;12;40;29;0
20;12;41;32;0
20;12;42;9;0
20;12;43;20;0
20;12;44;23;0
20;12;45;8;0
20;12;46;18;0
20;12;47;17;0
20;12;48;10;0
20;12;49;19;0
20;12;50;2;0
20;12;51;4;0
20;12;52;0;0
21;15;50;-4;0
21;15;51;0;0
21;15;52;0;0
21;15;53;0;0
21;15;54;0;0
21;15;55;10;0
21;15;56;12;0
21;15;57;11;0
21;15;58;4;0
21;15;59;13;0
21;16;0;12;0
21;16;1;13;0
21;16;2;12;0
21;16;3;13;0
21;16;4;13;0
21;16;5;25;0
21;16;6;7;0
21;16;7;0;0
21;16;8;-3;0
21;16;9;0;0
21;16;10;-3;0
21;16;11;-2;0
21;16;12;9;0
21;16;13;-5;0
21;16;14;-4;0
21;16;15;-14;0
21;16;16;23;0
21;16;17;18;0
21;16;18;17;0
21;16;19;25;0
21;16;20;15;0
21;16;21;0;0
21;16;22;7;0
21;16;23;0;0
21;16;24;0;0
21;16;25;0;0
21;16;26;0;0
21;16;27;10;0
21;16;28;4;0
21;16;29;20;0
21;16;30;20;0
21;16;31;3;0
21;16;32;20;0
21;16;33;15;0
21;16;34;20;0
21;16;35;17;0
21;16;36;15;0
21;16;37;20;0
21;16;38;20;0
21;16;39;1;0
21;16;40;0;0
21;16;41;12;0
21;16;42;15;0
21;16;43;15;0
21;16;44;20;0
21;16;45;20;0
21;16;46;15;0
21;16;47;0;0
21;16;48;0;0
21;16;49;0;0
21;16;50;10;0
21;16;51;15;0
21;16;52;4;0
21;16;53;0;0
21;16;54;0;0
21;16;55;7;0
21;16;56;0;0
21;16;57;0;0
21;16;58;16;0
21;16;59;20;0
21;17;0;22;0
21;17;1;19;0
21;17;2;20;0
21;17;3;25;0
21;17;4;25;0
21;17;5;25;0
21;17;6;25;0
21;17;7;20;0
21;17;8;25;0
21;17;9;-10;0
21;17;10;-10;0
21;17;11;19;0
21;17;12;18;0
21;17;13;27;0
21;17;14;17;0
21;17;15;26;0
21;17;16;25;0
21;17;17;22;0
21;17;18;21;0
21;17;19;0;0
21;17;20;0;0
21;17;21;0;0
21;17;22;0;0
21;17;23;0;0
21;17;24;0;0
21;17;25;0;0
21;17;26;0;0
21;17;27;0;0
21;17;28;0;0
21;17;29;0;0
