DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,41692,49.0539,8.30225,-122.217,4,,0,,359.989,,,,0.05,0,,,68.5492,188.93,-0.00549316,,,11.2939,,,17,-122.25,306.299,4,,0,,,237.783
,41693,49.0539,8.30225,-131.748,4.4,,0,,359.989,8.08044,,,0.04,0,,,68.3734,188.93,-0.00549316,,,10.2722,0.03,,17,-131.759,296.614,4.39,0,0,,,228.252
,41694,49.0539,8.30225,-124.953,4.5,,0,,359.989,8.08044,,,0.04,0,,,68.5052,188.93,-0.00549316,,,10.2722,0.03,,17,-131.759,296.746,4.39,0,0,,,235.047
,41694,49.0539,8.30225,-125.277,4.4,,0,,359.989,6.68518,,,0.04,0,,,68.3185,188.93,-0.00549316,,,10.2722,0.02,,17,-125.261,303.058,4.39,0,0,,,234.723
,41695,49.0539,8.30225,-121.663,4.2,,0,,359.989,6.68518,,,0.04,0,,,68.2196,188.93,-0.00549316,,,9.21204,0.02,,17,-121.674,306.546,4.2,0,0,,,238.337
,41696,49.0539,8.30225,-123.761,3.9,,0,,359.989,4.68567,,,0.04,0,,,68.0823,188.93,-0.00549316,,,9.21204,0.04,,17,-123.712,304.371,3.9,0,0,,,236.239
,41697,49.0539,8.30225,-123.272,3.9,,0,,359.989,4.68567,,,0.03,0,,,68.2031,188.93,-0.00549316,,,7.94861,0.04,,17,-123.261,304.942,3.89,0,0,,,236.728
,41698,49.0539,8.30225,-126.151,3.7,,0,,359.989,2.47192,,,0.03,0,,,68.0878,188.93,-0.00549316,,,7.94861,0.02,,17,-126.205,301.882,3.7,0,0,,,233.849
,41700,49.0539,8.30227,-116.279,3.5,,0,,359.989,2.47192,,,0.03,0,,,68.1042,188.93,-0.00549316,,,6.36108,0.02,,17,-116.263,311.841,3.5,0,0,,,243.721
,41701,49.0539,8.30227,-116.384,3.4,,0,,359.989,0.252686,,,0.03,0,,,67.923,188.93,-0.00549316,,,6.36108,0.01,,17,-116.329,311.594,3.4,0,0,,,243.616
