DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,51929,49.0539,8.30227,-1.66443,2.5,,0,,359.989,8.77258,,,0.07,0,,,69.3073,190.4,-0.00549316,,,13.1836,0.04,,17,-1.83472,67.4725,2.49,0,0,,,358.336
,51929,49.0539,8.30227,-29.751,2.7,,0,,359.989,7.3114,,,0.07,0,,,69.2194,190.4,-0.00549316,,,13.1836,0.02,,17,-29.7839,39.4354,2.69,0,0,,,330.249
,51930,49.0539,8.30227,2.68616,2.8,,0,,359.989,7.3114,,,0.07,0,,,69.2578,190.4,-0.00549316,,,13.1836,0.02,,17,-0.686646,68.5712,2.49,0,0,,,2.68616
,51931,49.0539,8.30227,-20.8575,3,,0,,359.989,7.3114,,,0.04,0,,,69.3951,190.4,-0.00549316,,,11.0687,0.02,,17,-12.8265,56.5686,2.78,0,0,,,339.142
,51932,49.0539,8.30227,-9.74487,2.7,,0,,359.989,6.27319,,,0.04,0,,,69.3018,190.4,-0.00549316,,,11.0687,0.03,,17,8.54187,77.8436,2.48,0,0,,,350.255
,51933,49.0539,8.30227,-27.3395,2.5,,0,,359.989,6.27319,,,0.03,0,,,69.2908,190.4,-0.00549316,,,9.31641,0.03,,17,-16.4465,52.8442,2.29,0,0,,,332.661
,51934,49.0539,8.30227,-26.1804,2.2,,0,,359.989,5.60303,,,0.03,0,,,69.1479,190.4,-0.00549316,,,9.31641,0.06,,17,-21.4124,47.7356,2.29,0,0,,,333.82
,51935,49.0539,8.30227,0.428467,2.2,,0,,359.989,5.60303,,,0.05,0,,,69.3018,190.4,-0.00549316,,,7.93213,0.06,,17,7.05872,76.3605,2.19,0,0,,,0.428467
,51936,49.0539,8.30227,-16.6772,1.8,,0,,359.989,5.18555,,,0.05,0,,,69.3512,190.4,-0.00549316,,,7.93213,0.08,,17,-20.8246,48.5266,2.19,0,0,,,343.323
,51937,49.0539,8.30227,9.45374,2.2,,0,,359.989,5.18555,,,0.05,0,,,69.4611,190.4,-0.00549316,,,6.91589,0.08,,17,2.0874,71.5485,2.19,0,0,,,9.45374
