DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,29736,49.0539,8.30225,-55.4425,2.5,,0,,359.989,332.457,,,0.01,0,,,66.4453,190.88,-0.00549316,,,333.127,0.01,,15,-55.6183,10.827,2.49,0,0,,,301.058
,29736,49.0539,8.30225,-58.9417,2.5,,0,,359.989,332.457,,,0.01,0,,,66.4453,190.88,-0.00549316,,,333.127,0.01,,15,-59.1394,7.30591,2.49,0,0,,,301.058
,29736,49.0539,8.30225,-58.9417,2.5,,0,,359.989,332.457,,,0.01,0,,,66.5442,190.88,-0.00549316,,,333.127,0.01,,15,-59.1394,7.40479,2.49,0,0,,,301.058
,29746,49.0539,8.30223,-46.0052,3.5,,0,,359.989,333.265,,,0.03,0,,,66.6431,190.88,-0.00549316,,,333.067,0.02,,15,-46.1755,20.4675,3.49,0,0,,,313.995
,29747,49.0539,8.30223,-37.7051,3.4,,0,,359.989,333.265,,,0.03,0,,,66.6376,190.88,-0.00549316,,,333.067,0.02,,15,-37.7985,28.8391,3.39,0,0,,,331.556
,29747,49.0539,8.30223,-28.4436,3.4,,0,,359.989,333.265,,,0.03,0,,,66.8298,190.88,-0.00549316,,,333.067,0.02,,15,-28.5095,38.3203,3.39,0,0,,,317.428
,29747,49.0539,8.30223,-42.572,3.4,,0,,359.989,333.144,,,0.03,0,,,66.7255,190.88,-0.00549316,,,333.149,0.01,,15,-42.5995,24.126,3.39,0,0,,,317.428
,29748,49.0539,8.30225,-38.1171,3.5,,0,,359.989,333.144,,,0.03,0,,,66.7969,190.88,-0.00549316,,,333.149,0.01,,15,-38.1281,28.6688,3.49,0,0,,,331.946
,29748,49.0539,8.30225,-28.0536,3.4,,0,,359.989,333.144,,,0.03,0,,,66.8298,190.88,-0.00549316,,,333.149,0.01,,15,-28.0481,38.7817,3.4,0,0,,,331.946
,29748,49.0539,8.30225,-34.0741,3.4,,0,,359.989,333.144,,,0.03,0,,,66.8463,190.88,-0.00549316,,,333.149,0.01,,15,-34.1949,32.6514,3.39,0,0,,,332.628
,29749,49.0539,8.30225,-26.4056,3.2,,0,,359.989,333.144,,,0.03,0,,,66.6376,190.88,-0.00549316,,,333.149,0.01,,15,-27.5043,39.1333,3.2,0,0,,,333.594
,29749,49.0539,8.30225,-26.4056,3.2,,0,,359.989,333.144,,,0.03,0,,,66.6156,190.88,-0.00549316,,,333.149,0.01,,15,-26.5649,39.9792,3.19,0,0,,,333.594
,29750,49.0539,8.30225,-27.746,3.2,,0,,359.989,332.71,,,0.01,0,,,66.5497,190.88,-0.00549316,,,333.149,0,,15,-27.5867,38.963,3.19,0,0,,,332.254
,29750,49.0539,8.30225,-26.4551,3.2,,0,,359.989,332.71,,,0.01,0,,,66.6156,190.88,-0.00549316,,,333.149,0,,15,-27.746,38.8696,3.19,0,0,,,333.545
