DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,26162,49.0539,8.30228,-34.7827,2,,0,,359.989,333.287,,,0.03,0,,,47.1808,196.64,-0.00549316,,,337.401,0.07,,14,-35.0244,12.1564,2,0,0,,,325.217
,26163,49.0539,8.30228,-39.9243,1.8,,0,,359.989,333.287,,,0.03,0,,,47.0764,196.64,-0.00549316,,,337.401,0.07,,14,-40.2374,6.83899,1.79,0,0,,,320.076
,26163,49.0539,8.30228,-39.9243,1.8,,0,,359.989,333.287,,,0.03,0,,,46.9611,196.64,-0.00549316,,,337.401,0.07,,14,-40.2374,6.72363,1.79,0,0,,,320.076
,26163,49.0539,8.30228,-42.0007,1.8,,0,,359.989,333.287,,,0.03,0,,,46.9611,196.64,-0.00549316,,,337.401,0.07,,14,-40.2374,6.72363,1.79,0,0,,,317.999
,26165,49.0539,8.30228,-31.745,1.8,,0,,359.989,331.842,,,0.05,0,,,46.8842,196.64,-0.00549316,,,335.901,0.04,,14,-32.0032,14.881,1.79,0,0,,,328.255
,26165,49.0539,8.30228,-31.745,1.8,,0,,359.989,331.842,,,0.05,0,,,47.027,196.64,-0.00549316,,,335.901,0.04,,14,-32.0032,15.0238,1.79,0,0,,,328.255
,26166,49.0539,8.30228,-31.1682,1.8,,0,,359.989,331.842,,,0.04,0,,,46.972,196.64,-0.00549316,,,334.446,0.04,,14,-31.5472,15.4248,1.79,0,0,,,328.832
,26167,49.0539,8.30227,-36.2274,1.8,,0,,359.989,330.716,,,0.04,0,,,46.4447,196.64,-0.00549316,,,334.446,0.02,,14,-36.4087,10.036,1.8,0,0,,,318.224
,26168,49.0539,8.30227,-43.5883,1.8,,0,,359.989,330.716,,,0.04,0,,,46.3129,196.64,-0.00549316,,,333.089,0.02,,14,-43.6322,2.68066,1.79,0,0,,,322.097
,26169,49.0539,8.30227,-44.209,2,,0,,359.989,329.645,,,0.04,0,,,46.8402,196.64,-0.00549316,,,333.089,0.03,,14,-44.3793,2.46094,2,0,0,,,315.791
,26170,49.0539,8.30227,-39.4629,2,,0,,359.989,329.645,,,0.03,0,,,47.9993,196.64,-0.00549316,,,331.837,0.03,,14,-39.7156,8.28369,2,0,0,,,316.802
,26171,49.0539,8.30227,-39.007,2.2,,0,,359.989,328.008,,,0.03,0,,,47.9443,196.64,-0.00549316,,,331.837,0.03,,14,-39.2651,8.6792,2.19,0,0,,,319.889
,26172,49.0539,8.30227,-42.7148,2.3,,0,,359.989,328.008,,,0.03,0,,,46.6425,196.64,-0.00549316,,,330.507,0.03,,14,-42.8687,3.7738,2.29,0,0,,,317.752
