DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,33164,49.0539,8.3023,41.4349,1.5,,0,,359.989,243.649,,,0.03,0,,,46.0052,198.05,-0.00549316,,,244.254,0.08,,15,30.553,76.4923,1.78,0,0,,,41.4349
,33164,49.0539,8.3023,30.8167,2,,0,,359.989,243.649,,,0.03,0,,,45.9393,198.05,-0.00549316,,,244.254,0.08,,15,30.7947,76.6296,1.99,0,0,,,30.8167
,33164,49.0539,8.3023,30.8167,2,,0,,359.989,243.649,,,0.03,0,,,45.835,198.05,-0.00549316,,,244.254,0.08,,15,30.7947,76.6296,1.99,0,0,,,30.8167
,33165,49.0539,8.3023,30.8167,2,,0,,359.989,243.649,,,0.03,0,,,45.802,198.05,-0.00549316,,,244.254,0.08,,15,43.1653,88.9673,1.98,0,0,,,30.8167
,33167,49.0539,8.3023,27.4548,1.7,,0,,359.989,243.16,,,0.05,0,,,45.5878,198.05,-0.00549316,,,244.039,0.09,,15,27.4548,73.0426,1.69,0,0,,,27.4548
,33167,49.0539,8.3023,18.512,1.5,,0,,359.989,243.16,,,0.07,0,,,45.4779,198.05,-0.00549316,,,243.704,0.09,,15,27.4548,72.9327,1.69,0,0,,,18.512
,33168,49.0539,8.3023,18.512,1.5,,0,,359.989,242.518,,,0.07,0,,,45.4559,198.05,-0.00549316,,,243.704,0.09,,15,18.2977,63.7537,1.49,0,0,,,18.512
,33168,49.0539,8.3023,19.9622,1.5,,0,,359.989,242.518,,,0.07,0,,,45.368,198.05,-0.00549316,,,243.704,0.09,,15,20.0006,65.3687,1.28,0,0,,,12.2827
,33169,49.0539,8.3023,12.2827,1.3,,0,,359.989,242.518,,,0.08,0,,,46.7798,198.05,-0.00549316,,,243.254,0.09,,15,23.7799,70.5597,1.28,0,0,,,24.0326
,33170,49.0539,8.3023,18.479,1.3,,0,,359.989,241.567,,,0.08,0,,,46.9775,198.05,-0.00549316,,,243.254,0.1,,15,18.4186,65.3961,1.49,0,0,,,13.623
,33171,49.0539,8.3023,29.4598,1.5,,0,,359.989,241.567,,,0.09,0,,,46.3129,198.05,-0.00549316,,,242.617,0.1,,15,29.3115,75.6244,1.49,0,0,,,30.3992
,33172,49.0539,8.30228,30.3992,1.5,,0,,359.989,240.606,,,0.09,0,,,44.7858,198.05,-0.00549316,,,242.617,0.12,,15,26.7297,71.5155,1.48,0,0,,,30.3992
,33173,49.0539,8.30228,9.3988,1.3,,0,,359.989,240.606,,,0.09,0,,,45.5109,198.05,-0.00549316,,,241.886,0.12,,15,9.26147,54.7723,1.48,0,0,,,5.27344
,33174,49.0539,8.30227,8.14087,1.1,,0,,359.989,239.337,,,0.09,0,,,46.4227,198.05,-0.00549316,,,241.886,0.11,,15,7.89917,54.3219,0.99,0,0,,,12.3047
