DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,25569,49.0539,8.30228,,,,0,,359.989,77.547,,,0.03,0,,,48.9825,207.02,-0.00549316,,,80.4089,0.04,,15,,,,,,,,
,25572,49.0539,8.30228,,,,0,,359.989,77.547,,,0.03,0,,,48.6804,207.02,-0.00549316,,,79.4092,0.04,,15,,,,0,,,,
,25572,49.0539,8.30228,,,,0,,359.989,77.547,,,0.03,0,,,48.5266,207.02,-0.00549316,,,79.4092,0.04,,15,,,,0,,,,
,25573,49.0539,8.30228,,,,0,,359.989,77.1844,,,0.03,0,,,48.8782,207.02,-0.00549316,,,79.4092,0.03,,15,,,,0,,,,
,25574,49.0539,8.30228,,,,0,,359.989,77.1844,,,0.03,0,,,49.054,207.02,-0.00549316,,,78.5742,0.03,,15,,,,0,,,,
,25575,49.0539,8.30228,,,,0,,359.989,77.3492,,,0.03,0,,,48.8782,207.02,-0.00549316,,,78.5742,0.01,,15,,,,0,,,,
,25576,49.0539,8.3023,,,,0,,359.989,77.3492,,,0.03,0,,,48.598,207.02,-0.00549316,,,78.0469,0.01,,15,,,,0,,,,
,25577,49.0539,8.3023,,,,0,,359.989,77.2943,,,0.03,0,,,48.1311,207.02,-0.00549316,,,78.0469,0.03,,15,,,,0,,,,
,25578,49.0539,8.30228,,,,0,,359.989,77.2943,,,0.02,0,,,48.4497,207.02,-0.00549316,,,77.7502,0.03,,15,,,,0,,,,
,25579,49.0539,8.30228,,,,0,,359.989,76.6132,,,0.02,0,,,48.5266,207.02,-0.00549316,,,77.7502,0.02,,15,,,,0,,,,
,25580,49.0539,8.30228,,,,0,,359.989,76.6132,,,0.02,0,,,48.5706,207.02,-0.00549316,,,77.4097,0.02,,15,,,,0,,,,
,25581,49.0539,8.30228,,,,0,,359.989,75.8002,,,0.02,0,,,48.5541,207.02,-0.00549316,,,77.4097,0.01,,15,,,,0,,,,
,25582,49.0539,8.30228,,,,0,,359.989,75.8002,,,0.02,0,,,48.2025,207.02,-0.00549316,,,76.8988,0.01,,15,,,,0,,,,
,25583,49.0539,8.30228,,,,0,,359.989,74.8608,,,0.02,0,,,48.3948,207.02,-0.00549316,,,76.8988,0.01,,15,,,,0,,,,
,25584,49.0539,8.30227,,,,0,,359.989,74.8608,,,0.01,0,,,49.422,207.02,-0.00549316,,,76.2396,0.01,,15,,,,0,,,,
,25585,49.0539,8.30227,,,,0,,359.989,73.7073,,,0.01,0,,,49.4714,207.02,-0.00549316,,,76.2396,0,,15,,,,0,,,,
,25586,49.0539,8.30228,,,,0,,359.989,73.7073,,,0.01,0,,,49.2407,207.02,-0.00549316,,,75.4816,0,,15,,,,0,,,,
,25587,49.0539,8.30228,,,,0,,359.989,73.3228,,,0.01,0,,,48.9606,207.02,-0.00549316,,,75.4816,0,,15,,,,0,,,,
,25588,49.0539,8.30228,,,,0,,359.989,73.3228,,,0,0,,,49.0759,207.02,-0.00549316,,,74.696,0,,15,,,,0,,,,
,25589,49.0539,8.30228,,,,0,,359.989,72.3395,,,0,0,,,48.7573,207.02,-0.00549316,,,74.696,0.03,,15,,,,0,,,,
,25590,49.0539,8.30228,,,,0,,359.989,72.3395,,,0.01,0,,,48.7024,207.02,-0.00549316,,,73.9655,0.03,,15,,,,0,,,,
,25591,49.0539,8.30228,,,,0,,359.989,70.5103,,,0.01,0,,,48.6694,207.02,-0.00549316,,,73.9655,0.03,,15,,,,0,,,,
,25592,49.0539,8.30228,,,,0,,359.989,70.5103,,,0.01,0,,,48.8452,207.02,-0.00549316,,,72.9877,0.03,,15,,,,0,,,,
,25593,49.0539,8.30228,,,,0,,359.989,68.7085,,,0.01,0,,,48.7738,207.02,-0.00549316,,,72.9877,0.02,,15,,,,0,,,,
