DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,39661,49.054,8.30232,-48.3398,0.8,,0,,359.989,350.832,,,0,0,,,51.405,208.45,-0.00549316,,,89.9945,0,,16,-48.5541,2.37854,0.8,0,0,,,311.66
,39661,49.054,8.30232,-48.3398,0.8,,0,,359.989,350.832,,,0,0,,,50.9326,208.45,-0.00549316,,,89.9945,0,,16,-48.5541,2.37854,0.8,0,0,,,311.66
,39661,49.054,8.30232,-48.598,0.8,,0,,359.989,350.832,,,0,0,,,51.2018,208.45,-0.00549316,,,89.9945,0,,16,-48.5541,2.64771,0.8,0,0,,,311.402
,39662,49.054,8.30232,-48.0817,0.8,,0,,359.989,350.832,,,0,0,,,51.9763,208.45,-0.00549316,,,89.9945,0,,16,-48.5541,3.42224,0.8,0,0,,,311.918
,39663,49.054,8.30232,-48.3398,0.8,,0,,359.989,349.986,,,0,0,,,51.7786,208.45,-0.00549316,,,89.9945,0,,16,-48.5541,3.22449,0.8,0,0,,,311.66
,39664,49.054,8.30232,-51.3776,0.8,,0,,359.989,349.986,,,0,0,,,51.0205,208.45,-0.00549316,,,89.9945,0,,16,-52.1466,358.874,0.79,0,0,,,308.622
,39665,49.054,8.30232,-53.7616,0.8,,0,,359.989,349.14,,,0,0,,,50.8118,208.45,-0.00549316,,,89.9945,0,,16,-54.1516,356.193,0.8,0,0,,,306.238
,39666,49.054,8.30232,-55.3876,0.8,,0,,359.989,349.14,,,0,0,,,51.015,208.45,-0.00549316,,,89.9945,0,,16,-55.7227,355.292,0.79,0,0,,,304.612
,39667,49.054,8.30232,-55.7996,0.8,,0,,359.989,348.19,,,0,0,,,50.5536,208.45,-0.00549316,,,89.9945,0,,16,-56.7279,353.853,0.8,0,0,,,304.2
,39668,49.054,8.30232,-55.5029,0.8,,0,,359.989,348.19,,,0,0,,,51.2238,208.45,-0.00549316,,,89.9945,0,,16,-55.7227,355.051,0.79,0,0,,,304.497
,39669,49.054,8.30232,-53.1519,0.8,,0,,359.989,347.487,,,0,0,,,50.9326,208.45,-0.00549316,,,89.9945,0,,16,-53.7231,357.209,0.79,0,0,,,306.848
,39670,49.054,8.30232,-51.8335,0.8,,0,,359.989,347.487,,,0,0,,,50.8887,208.45,-0.00549316,,,89.9945,0,,16,-52.1466,358.599,0.79,0,0,,,308.167
,39671,49.054,8.30232,-51.0699,0.6,,0,,359.989,346.86,,,0,0,,,51.2292,208.45,-0.00549316,,,89.9945,0,,16,-51.806,359.423,0.59,0,0,,,308.93
,39672,49.054,8.30232,-51.5424,0.6,,0,,359.989,346.86,,,0,0,,,50.7404,208.45,-0.00549316,,,89.9945,0,,16,-51.806,358.934,0.59,0,0,,,308.458
,39673,49.054,8.30232,-51.5973,0.6,,0,,359.989,346.025,,,0,0,,,50.2789,208.45,-0.00549316,,,89.9945,0,,16,-51.806,358.473,0.59,0,0,,,308.403
,39674,49.054,8.30232,-51.5973,0.6,,0,,359.989,346.025,,,0,0,,,50.6964,208.45,-0.00549316,,,89.9945,0,,16,-51.806,358.89,0.59,0,0,,,308.403
,39675,49.054,8.30232,-51.0754,0.5,,0,,359.989,345.125,,,0,0,,,51.037,208.45,-0.00549316,,,89.9945,0,,16,-51.5369,359.5,0.49,0,0,,,308.925
,39676,49.054,8.30232,-50.5701,0.5,,0,,359.989,345.125,,,0,0,,,51.026,208.45,-0.00549316,,,89.9945,0,,16,-51.5369,359.489,0.49,0,0,,,309.43
,39677,49.054,8.30232,-49.3726,0.5,,0,,359.989,344.383,,,0,0,,,51.7676,208.45,-0.00549316,,,89.9945,0,,16,-49.9164,1.8512,0.49,0,0,,,310.627
,39678,49.054,8.30232,-48.8068,0.5,,0,,359.989,344.383,,,0,0,,,51.6577,208.45,-0.00549316,,,89.9945,0,,16,-49.9164,1.74133,0.49,0,0,,,311.193
,39679,49.054,8.30232,-48.3453,0.5,,0,,359.989,343.581,,,0,0,,,50.9271,208.45,-0.00549316,,,89.9945,0,,16,-49.0375,1.88965,0.5,0,0,,,311.655
,39680,49.054,8.30232,-42.6489,0.6,,0,,359.989,343.581,,,0,0,,,50.9821,208.45,-0.00549316,,,89.9945,0,,16,-42.973,8.00903,0.6,0,0,,,317.351
,39681,49.054,8.30232,-41.6656,0.6,,0,,359.989,342.883,,,0,0,,,51.1523,208.45,-0.00549316,,,89.9945,0,,16,-42.2589,8.89343,0.59,0,0,,,318.334
,39682,49.054,8.30232,-37.7985,0.6,,0,,359.989,342.883,,,0,0,,,50.9436,208.45,-0.00549316,,,89.9945,0,,16,-38.194,12.7496,0.59,0,0,,,322.202
,39684,49.054,8.30232,-36.3428,0.6,,0,,359.989,342.449,,,0,0,,,51.0645,208.45,-0.00549316,,,89.9945,0,,16,-36.8701,14.1943,0.6,0,0,,,323.657
,39685,49.054,8.30232,-35.7001,0.6,,0,,359.989,342.449,,,0,0,,,51.1359,208.45,-0.00549316,,,89.9945,0,,16,-36.0791,15.0568,0.59,0,0,,,324.3
,39686,49.054,8.30232,-32.8107,0.6,,0,,359.989,342.257,,,0,0,,,51.0095,208.45,-0.00549316,,,89.9945,0,,16,-33.4039,17.6056,0.59,0,0,,,327.189
,39687,49.054,8.30232,-30.7343,0.5,,0,,359.989,342.257,,,0,0,,,50.658,208.45,-0.00549316,,,89.9945,0,,16,-31.745,18.913,0.49,0,0,,,329.266
,39688,49.054,8.30232,-31.3934,0.5,,0,,359.989,342.136,,,0,0,,,51.3446,208.45,-0.00549316,,,89.9945,0,,16,-32.7173,18.6273,0.49,0,0,,,328.607
,39689,49.054,8.30232,-30.3992,0.5,,0,,359.989,342.136,,,0,0,,,51.2897,208.45,-0.00549316,,,89.9945,0,,16,-31.1407,20.1489,0.5,0,0,,,329.601
,39690,49.054,8.30232,-30.8221,0.3,,0,,359.989,342.12,,,0,0,,,50.9106,208.45,-0.00549316,,,89.9945,0,,16,-32.6019,18.3087,0.29,0,0,,,329.178
,39691,49.054,8.30232,-30.8221,0.3,,0,,359.989,342.12,,,0,0,,,51.2347,208.45,-0.00549316,,,89.9945,0,,16,-32.6019,18.6328,0.29,0,0,,,329.178
,39692,49.054,8.30232,-28.3722,0.5,,0,,359.989,342.202,,,0,0,,,51.0535,208.45,-0.00549316,,,89.9945,0,,16,-29.1577,21.8958,0.49,0,0,,,331.628
,39693,49.054,8.30232,-32.536,0.5,,0,,359.989,342.202,,,0,0,,,50.658,208.45,-0.00549316,,,89.9945,0,,16,-32.7173,17.9407,0.49,0,0,,,327.464
,39694,49.054,8.30232,-33.3984,0.5,,0,,359.989,342.466,,,0,0,,,50.9271,208.45,-0.00549316,,,89.9945,0,,16,-34.3213,16.6058,0.49,0,0,,,326.602
,39695,49.054,8.30232,-34.14,0.6,,0,,359.989,342.466,,,0,0,,,51.1469,208.45,-0.00549316,,,89.9945,0,,16,-34.7443,16.4026,0.59,0,0,,,325.86
