DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,41697,49.0539,8.30232,1.69189,0,,0,,359.989,359.973,,,0.03,0,,,50.1361,209.11,-0.00549316,,,358.358,0,,18,45,95.1361,0,0,0,,,1.69189
,41697,49.0539,8.30232,1.69189,0,,0,,359.989,359.973,,,0.03,0,,,50.1361,209.11,-0.00549316,,,358.358,0,,18,45,95.1361,0,0,0,,,1.69189
,41698,49.0539,8.30232,1.69189,0,,0,,359.989,359.973,,,0.02,0,,,50.1361,209.11,-0.00549316,,,358.951,0,,18,45,95.2185,0,0,0,,,1.69189
,41698,49.0539,8.30232,1.69189,0,,0,,359.989,359.973,,,0.02,0,,,50.2185,209.11,-0.00549316,,,358.951,0,,18,45,95.4437,0,0,0,,,1.69189
,41705,49.0539,8.30232,1.69189,0,,0,,359.989,349.195,,,0.04,0,,,49.4,209.11,-0.00549316,,,356.836,0.07,,18,45,94.4,0,0,0,,,1.69189
,41706,49.0539,8.30232,1.69189,0,,0,,359.989,349.195,,,0.04,0,,,49.4824,209.11,-0.00549316,,,356.836,0.07,,18,45,94.4824,0,0,0,,,1.69189
,41706,49.0539,8.30232,1.69189,0,,0,,359.989,349.195,,,0.04,0,,,49.4385,209.11,-0.00549316,,,356.836,0.07,,18,45,94.4385,0,0,0,,,1.69189
,41706,49.0539,8.30232,1.69189,0,,0,,359.989,349.195,,,0.04,0,,,49.5868,209.11,-0.00549316,,,356.836,0.07,,18,45,94.5868,0,0,0,,,1.69189
,41707,49.0539,8.30232,1.69189,0,,0,,359.989,349.195,,,0.06,0,,,49.4495,209.11,-0.00549316,,,354.413,0.07,,18,45,94.4495,0,0,0,,,1.69189
,41707,49.0539,8.30232,1.69189,0,,0,,359.989,344.636,,,0.06,0,,,49.9219,209.11,-0.00549316,,,354.413,0.08,,18,45,94.9219,0,0,0,,,1.69189
,41708,49.0539,8.30232,1.69189,0,,0,,359.989,344.636,,,0.06,0,,,49.9219,209.11,-0.00549316,,,354.413,0.08,,18,45,94.9219,0,0,0,,,1.69189
,41708,49.0539,8.30232,1.69189,0,,0,,359.989,344.636,,,0.06,0,,,49.7681,209.11,-0.00549316,,,354.413,0.08,,18,45,94.7681,0,0,0,,,1.69189
,41708,49.0539,8.30232,1.69189,0,,0,,359.989,344.636,,,0.06,0,,,49.7955,209.11,-0.00549316,,,351.271,0.08,,18,45,94.7955,0,0,0,,,1.69189
