DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,58206,49.0539,8.3023,-32.3218,0.8,,0,,359.989,32.7502,,,0,0,,,49.4275,212.27,-0.00549316,,,89.9945,0.03,,18,-32.6733,16.7816,0.79,0,0,,,327.678
,58206,49.0539,8.3023,-33.6676,0.8,,0,,359.989,32.7502,,,0,0,,,49.455,212.27,-0.00549316,,,89.9945,0.03,,18,-32.6733,16.7816,0.79,0,0,,,326.332
,58206,49.0539,8.3023,-33.6676,0.8,,0,,359.989,32.7502,,,0,0,,,49.455,212.27,-0.00549316,,,89.9945,0.03,,18,-34.2773,15.1172,0.79,0,0,,,326.332
,58206,49.0539,8.3023,-33.6676,0.8,,0,,359.989,32.7502,,,0,0,,,49.3945,212.27,-0.00549316,,,89.9945,0.03,,18,-34.2773,15.1172,0.79,0,0,,,326.332
,58206,49.0539,8.3023,-33.6676,0.8,,0,,359.989,32.7502,,,0,0,,,49.3945,212.27,-0.00549316,,,89.9945,0.03,,18,-34.2773,15.0842,0.79,0,0,,,326.332
,58208,49.0539,8.3023,-20.7092,1,,0,,359.989,32.8107,,,0,0,,,49.3726,212.27,-0.00549316,,,32.2943,0.02,,18,-31.6901,17.6825,0.79,0,0,,,339.291
,58208,49.0539,8.3023,-20.7092,1,,0,,359.989,32.8107,,,0,0,,,49.2957,212.27,-0.00549316,,,32.2943,0.02,,18,-21.1487,28.147,0.99,0,0,,,339.291
,58209,49.0539,8.3023,-15.6281,1,,0,,359.989,32.8107,,,0.02,0,,,48.631,212.27,-0.00549316,,,32.4976,0.02,,18,-15.694,32.937,0.99,0,0,,,344.372
,58210,49.0539,8.3023,-8.22876,1,,0,,359.989,30.0861,,,0.02,0,,,48.3673,212.27,-0.00549316,,,32.4976,0.07,,18,-8.69019,39.6771,0.99,0,0,,,351.771
,58211,49.0539,8.3023,-9.87122,1,,0,,359.989,30.0861,,,0.02,0,,,48.4332,212.27,-0.00549316,,,31.745,0.07,,18,-10.4041,38.0292,0.99,0,0,,,350.129
,58212,49.0539,8.3023,-17.4957,1.1,,0,,359.989,27.5812,,,0.02,0,,,48.8232,212.27,-0.00549316,,,31.745,0.07,,18,-18.089,30.7343,1.09,0,0,,,342.504
,58213,49.0539,8.3023,-17.1277,1.3,,0,,359.989,27.5812,,,0.05,0,,,49.043,212.27,-0.00549316,,,30.2783,0.07,,18,-17.4518,31.5912,1.29,0,0,,,342.872
,58214,49.0539,8.30233,-13.5132,1.3,,0,,359.989,25.1917,,,0.05,0,,,49.1089,212.27,-0.00549316,,,30.2783,0.06,,18,-13.8153,35.2936,1.29,0,0,,,346.487
,58215,49.0539,8.30233,-14.48,1.3,,0,,359.989,25.1917,,,0.04,0,,,48.653,212.27,-0.00549316,,,28.4216,0.06,,18,-14.7766,33.8763,1.29,0,0,,,345.52
,58216,49.0539,8.30233,-15.26,1.1,,0,,359.989,23.5986,,,0.04,0,,,48.3124,212.27,-0.00549316,,,28.4216,0.03,,18,-15.282,33.0304,1.09,0,0,,,344.74
,58217,49.0539,8.30233,-15.9906,1.1,,0,,359.989,23.5986,,,0.04,0,,,48.3179,212.27,-0.00549316,,,26.6089,0.03,,18,-16.4355,31.8823,1.09,0,0,,,344.009
,58218,49.0539,8.30233,-18.479,1.1,,0,,359.989,23.5876,,,0.04,0,,,48.5101,212.27,-0.00549316,,,26.6089,0.02,,18,-18.5834,29.9268,1.09,0,0,,,341.521
,58219,49.0539,8.30233,-14.892,1.1,,0,,359.989,23.5876,,,0.04,0,,,48.6035,212.27,-0.00549316,,,25.3839,0.02,,18,-15.282,33.3215,1.09,0,0,,,345.108
,58220,49.0539,8.30233,-11.4423,1.1,,0,,359.989,24.3182,,,0.04,0,,,48.4882,212.27,-0.00549316,,,25.3839,0.04,,18,-11.6071,36.8811,1.09,0,0,,,348.558
,58221,49.0539,8.30233,-5.58655,1,,0,,359.989,24.3182,,,0.03,0,,,48.4332,212.27,-0.00549316,,,24.8621,0.04,,18,-5.75684,42.6764,0.99,0,0,,,354.413
,58222,49.0539,8.30233,-7.6355,0.8,,0,,359.989,24.7467,,,0.03,0,,,48.3618,212.27,-0.00549316,,,24.8621,0.02,,18,-7.91565,40.4462,0.79,0,0,,,352.365
,58223,49.0539,8.30233,-7.65198,0.8,,0,,359.989,24.7467,,,0.03,0,,,48.3838,212.27,-0.00549316,,,24.7577,0.02,,18,-7.91565,40.4681,0.79,0,0,,,352.348
,58224,49.0539,8.30233,-21.2146,1,,0,,359.989,24.9335,,,0.03,0,,,48.5321,212.27,-0.00549316,,,24.7577,0.01,,18,-21.676,26.8561,1,0,0,,,338.785
,58225,49.0539,8.30233,-22.5769,1,,0,,359.989,24.9335,,,0.02,0,,,48.5815,212.27,-0.00549316,,,24.8016,0.01,,18,-22.9614,25.6201,0.99,0,0,,,337.423
,58226,49.0539,8.30233,-18.9789,0.8,,0,,359.989,25.4004,,,0.02,0,,,48.4937,212.27,-0.00549316,,,24.8016,0.01,,18,-19.0997,29.3939,0.79,0,0,,,341.021
,58227,49.0539,8.30233,-15.7983,0.8,,0,,359.989,25.4004,,,0.01,0,,,48.4937,212.27,-0.00549316,,,24.9884,0.01,,18,-16.1279,32.3657,0.79,0,0,,,344.202
,58228,49.0539,8.30233,-10.8105,0.8,,0,,359.989,25.0708,,,0.01,0,,,48.6145,212.27,-0.00549316,,,24.9884,0,,18,-10.8765,37.738,0.79,0,0,,,349.189
,58229,49.0539,8.30233,-6.63574,0.8,,0,,359.989,25.0708,,,0,0,,,48.6145,212.27,-0.00549316,,,25.0708,0,,18,-7.20703,41.4075,0.79,0,0,,,353.364
,58230,49.0539,8.30232,0.444946,0.8,,0,,359.989,24.3512,,,0,0,,,48.6969,212.27,-0.00549316,,,25.0708,0,,18,0,48.6969,0.79,0,0,,,0.444946
,58231,49.0539,8.30232,5.74585,1,,0,,359.989,24.3512,,,0.01,0,,,48.8232,212.27,-0.00549316,,,24.9115,0,,18,5.75684,54.5801,0.99,0,0,,,5.74585
,58233,49.0539,8.30232,3.47168,1,,0,,359.989,23.5052,,,0.01,0,,,48.5376,212.27,-0.00549316,,,24.9115,0,,18,3.46619,52.0038,0.99,0,0,,,3.47168
,58234,49.0539,8.30232,2.70813,1.3,,0,,359.989,23.5052,,,0,0,,,48.1201,212.27,-0.00549316,,,89.9945,0,,18,2.65869,50.7788,1.29,0,0,,,2.70813
,58235,49.0539,8.30232,1.84021,1.1,,0,,359.989,22.4725,,,0,0,,,48.219,212.27,-0.00549316,,,89.9945,0,,19,1.57104,49.79,1.09,0,0,,,1.84021
,58236,49.0539,8.30232,1.02722,1.1,,0,,359.989,22.4725,,,0,0,,,48.252,212.27,-0.00549316,,,89.9945,0,,18,0.521851,48.7738,1.09,0,0,,,1.02722
,58237,49.0539,8.30232,19.7974,1.1,,0,,359.989,21.4178,,,0,0,,,48.5046,212.27,-0.00549316,,,89.9945,0,,18,19.7424,68.2471,1.09,0,0,,,19.7974
,58238,49.0539,8.30232,18.2538,1.1,,0,,359.989,21.4178,,,0,0,,,48.8123,212.27,-0.00549316,,,89.9945,0,,18,18.089,66.9012,1.09,0,0,,,18.2538
,58239,49.0539,8.30232,12.0685,1.1,,0,,359.989,20.3741,,,0,0,,,48.5706,212.27,-0.00549316,,,89.9945,0,,18,11.6071,60.1776,1.09,0,0,,,12.0685
,58240,49.0539,8.30232,10.3271,1.1,,0,,359.989,20.3741,,,0,0,,,47.9993,212.27,-0.00549316,,,89.9945,0,,18,9.97009,57.9694,1.09,0,0,,,10.3271
,58241,49.0539,8.3023,2.63672,1,,0,,359.989,19.1876,,,0,0,,,47.8839,212.27,-0.00549316,,,89.9945,0,,18,2.30713,50.191,0.99,0,0,,,2.63672
,58242,49.0539,8.3023,-1.86768,1,,0,,359.989,19.1876,,,0,0,,,47.8894,212.27,-0.00549316,,,89.9945,0,,19,-2.30713,45.5823,0.99,0,0,,,358.132
,58243,49.0539,8.3023,-10.3052,1,,0,,359.989,18.1824,,,0,0,,,48.1915,212.27,-0.00549316,,,89.9945,0,,19,-10.4041,37.7875,0.99,0,0,,,349.695
,58244,49.0539,8.3023,-9.90417,1,,0,,359.989,18.1824,,,0,0,,,48.3124,212.27,-0.00549316,,,89.9945,0,,19,-10.4041,37.9083,0.99,0,0,,,350.096
,58245,49.0539,8.30228,-8.58582,1,,0,,359.989,17.1442,,,0,0,,,48.8123,212.27,-0.00549316,,,89.9945,0,,19,-8.69019,40.1221,0.99,0,0,,,351.414
,58246,49.0539,8.30228,-12.1344,1,,0,,359.989,17.1442,,,0,0,,,48.9386,212.27,-0.00549316,,,89.9945,0,,19,-12.7661,36.1725,0.99,0,0,,,347.866
,58247,49.0539,8.3023,-11.1127,1,,0,,359.989,16.2872,,,0,0,,,48.8727,212.27,-0.00549316,,,18.2428,0.03,,19,-11.5192,37.3535,1,0,0,,,348.887
,58248,49.0539,8.3023,-18.8525,1,,0,,359.989,16.2872,,,0,0,,,48.7408,212.27,-0.00549316,,,18.2428,0.03,,19,-19.325,29.4159,0.99,0,0,,,341.147
