DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,31738,49.0541,8.30245,-3.27942,0.8,,2,,34.9915,40.7867,,,0.15,0.01,,,27.8174,212.75,-0.00549316,,,88.3905,2.11,,17,-167.212,220.605,0.22,,-1.31,,,356.721
,31738,49.0541,8.30245,-3.27942,0.8,,2,,34.9915,40.7867,,,0.15,0.01,,,27.8174,212.76,-0.00549316,,,88.3905,2.11,,17,-167.212,220.605,0.22,,-0.75,,,356.721
,31739,49.0541,8.30245,-8.5968,1.1,,1.99,,34.6399,40.7867,,,0.15,0.01,,,28.3063,212.76,-0.00549316,,,88.3905,2.11,,17,-70.5762,317.73,0.18,,0.66,,,351.403
,31740,49.0541,8.30248,-5.23499,1.3,,1.96,,34.3103,40.7977,,,0.27,0.01,,,26.4111,212.76,-0.00549316,,,100.41,2.15,,17,-21.7804,4.63074,0.32,0,0.66,,,354.765
,31741,49.0541,8.30248,3.35083,1.1,,2.05,,33.9258,40.7977,,,0.27,0.01,,,25.5597,212.76,-0.00549316,,,100.41,2.15,,17,56.3324,81.8921,0.07,0,1.02,,,3.35083
,31742,49.0541,8.3025,-2.96631,1.3,,2.03,,33.5413,40.5725,,,0.38,0.01,,,26.0046,212.76,-0.00549316,,,104.002,2.19,,17,-16.2433,9.76135,0.25,0,1.13,,,357.034
,31743,49.0541,8.3025,-10.2008,1.3,,2.09,,33.1677,40.5725,,,0.38,0.01,,,24.0491,212.76,-0.00549316,,,104.002,2.19,,17,-43.8135,340.236,0.34,0,1.65,,,349.799
,31744,49.0542,8.30252,-10.036,1.3,,2.12,,32.7502,39.809,,,0.46,0.01,,,23.0878,212.76,-0.00549316,,,105.886,2.26,,17,-50.4547,332.633,0.29,0,1.43,,,349.964
,31745,49.0542,8.30252,-13.5956,1,,2.04,,32.3438,39.809,,,0.46,0.01,,,22.8845,212.76,-0.00549316,,,105.886,2.26,,17,-116.565,266.32,0.26,0,-0.12,,,346.404
,31747,49.0542,8.30253,-4.0155,1.1,,2.13,,31.9702,38.6334,,,0.53,0.01,,,21.6101,212.76,-0.00549316,,,106.447,2.3,,17,-63.4351,318.175,0.09,0,-0.95,,,355.984
,31748,49.0542,8.30253,-4.76257,1.3,,2.16,,31.5527,38.6334,,,0.53,0.01,,,21.286,212.76,-0.00549316,,,106.447,2.3,,17,-32.8821,348.404,0.2,0,-0.27,,,355.237
,31749,49.0542,8.30255,-1.46118,1.3,,2.03,,31.1572,37.326,,,0.59,0.01,,,20.1819,212.76,-0.00549316,,,106.04,2.32,,17,-10.2997,9.8822,0.22,0,1.82,,,358.539
,31750,49.0542,8.30255,-4.79004,1.5,,2.21,,30.7507,37.326,,,0.59,0.01,,,19.325,212.76,-0.00549316,,,106.04,2.32,,17,-17.9901,1.33484,0.42,0,1.99,,,355.21
,31751,49.0542,8.30257,-6.38306,1.7,,2.11,,30.3333,35.6232,,,0.63,0.01,,,19.1876,212.76,-0.00549316,,,103.244,2.4,,17,-19.0393,0.148315,0.58,0,2.01,,,353.617
,31752,49.0542,8.30257,-0.961304,1.7,,2.05,,29.9487,35.6232,,,0.63,0.01,,,17.3199,212.76,-0.00549316,,,103.244,2.4,,17,-2.68066,14.6393,0.64,0,2.04,,,359.039
,31753,49.0542,8.30258,-1.39526,1.7,,2.19,,29.5093,34.0411,,,0.67,0.01,,,16.6333,212.76,-0.00549316,,,99.2615,2.42,,17,-4.91638,11.7169,0.58,0,2.04,,,358.605
,31754,49.0542,8.30258,5.95459,1.7,,2.12,,29.0918,34.0411,,,0.67,0.01,,,16.2872,212.76,-0.00549316,,,99.2615,2.42,,17,16.875,33.1622,0.58,0,2.18,,,5.95459
,31755,49.0542,8.3026,-2.30164,1.7,,2.16,,28.6853,32.4207,,,0.69,0.01,,,14.425,212.76,-0.00549316,,,97.6904,2.41,,17,-6.23474,8.19031,0.64,0,2.11,,,357.698
,31756,49.0542,8.3026,-3.62549,1.7,,2.2,,28.2568,32.4207,,,0.69,0.01,,,14.0735,212.76,-0.00549316,,,97.6904,2.41,,17,-11.1017,2.9718,0.57,0,2.02,,,356.375
,31757,49.0543,8.30262,-0.477905,1.7,,2.09,,27.8503,30.8386,,,0.71,0.02,,,13.4198,212.77,-0.00549316,,,95.8282,2.43,,17,-1.90613,11.5137,0.6,0,2.16,,,359.522
,31758,49.0543,8.30262,-3.07617,1.7,,2.2,,27.4329,30.8386,,,0.71,0.02,,,11.9751,212.77,-0.00549316,,,95.8282,2.43,,17,-9.77234,2.20276,0.58,0,2.12,,,356.924
,31759,49.0543,8.30263,-0.186768,1.8,,2.17,,26.9934,29.3335,,,0.72,0.02,,,11.4368,212.77,-0.00549316,,,93.7628,2.46,,17,-0.862427,10.5743,0.66,0,2.13,,,359.813
,31760,49.0543,8.30263,1.10413,1.7,,2.2,,26.5759,29.3335,,,0.72,0.02,,,10.5963,212.77,-0.00549316,,,93.7628,2.46,,17,2.8125,13.4088,0.61,0,2.2,,,1.10413
