DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,,49.0539,8.30233,4.10889,0.3,,0,,359.989,,,,,0,,,49.6802,215.28,-0.00549316,,,0,,,18,3.9386,53.6188,0.29,,0,,,4.10889
,,49.0539,8.30233,6.24023,0.3,,0,,359.989,,,,,0,,,49.9713,215.28,-0.00549316,,,0,,,18,5.89966,55.871,0.29,,0,,,6.24023
,,49.0539,8.30233,6.24023,0.3,,0,,359.989,,,,,0,,,49.6857,215.28,-0.00549316,,,0,,,18,5.89966,55.5853,0.29,,0,,,6.24023
,51097,49.0539,8.30237,6.24023,0.3,,0,,359.989,,,,,0,,,49.4495,215.28,-0.00549316,,,0,,,18,5.89966,55.3491,0.29,0,0,,,6.24023
,51098,49.0539,8.30237,1.73035,0.3,,0,,359.989,,,,,0,,,49.6692,215.28,-0.00549316,,,0,,,18,0,49.6692,0.29,0,0,,,1.73035
,51099,49.0539,8.30237,3.2959,0.5,,0,,359.989,,,,,0,,,49.7461,215.28,-0.00549316,,,0,,,18,2.3291,52.0752,0.49,0,0,,,3.2959
,51100,49.0539,8.30237,3.2959,0.5,,0,,359.989,,,,,0,,,49.9054,215.28,-0.00549316,,,0,,,18,2.3291,52.2345,0.49,0,0,,,3.2959
,51101,49.0539,8.30237,-4.16931,0.5,,0,,359.989,60.7544,,,0.03,0,,,49.1199,215.28,-0.00549316,,,60.7489,0.03,,18,-4.6582,44.4617,0.49,0,0,,,355.831
,51102,49.0539,8.30237,0.175781,0.5,,0,,359.989,60.7544,,,0.03,0,,,49.5813,215.28,-0.00549316,,,60.7489,0.03,,18,0,49.5813,0.49,0,0,,,0.175781
,51103,49.0539,8.30235,1.02173,0.5,,0,,359.989,95.603,,,0.04,0,,,49.5264,215.28,-0.00549316,,,66.8848,0.04,,18,0,49.5264,0.49,0,0,,,1.02173
,51104,49.0539,8.30235,0.307617,0.5,,0,,359.989,95.603,,,0.04,0,,,49.4824,215.28,-0.00549316,,,66.8848,0.04,,18,0,49.4824,0.49,0,0,,,0.307617
,51105,49.0539,8.30235,0.373535,0.6,,0,,359.989,116.197,,,0.04,0,,,50.0537,215.28,-0.00549316,,,82.0898,0.04,,18,0,50.0537,0.59,0,0,,,0.373535
,51106,49.0539,8.30235,0.148315,0.6,,0,,359.989,116.197,,,0.04,0,,,50.603,215.28,-0.00549316,,,82.0898,0.04,,18,0,50.603,0.59,0,0,,,0.148315
,51107,49.0539,8.30233,-5.4657,0.6,,0,,359.989,127.744,,,0.03,0,,,51.037,215.28,-0.00549316,,,97.24,0.02,,18,-5.80078,45.2362,0.59,0,0,,,354.534
,51108,49.0539,8.30233,-7.50916,0.5,,0,,359.989,127.744,,,0.03,0,,,49.8944,215.28,-0.00549316,,,97.24,0.02,,18,-8.1189,41.7755,0.49,0,0,,,352.491
,51109,49.0539,8.30232,-8.40454,0.5,,0,,359.989,134.495,,,0.03,0,,,49.8944,215.28,-0.00549316,,,110.358,0.01,,18,-9.26147,40.6329,0.49,0,0,,,351.595
,51110,49.0539,8.30232,-8.40454,0.5,,0,,359.989,134.495,,,0.03,0,,,50.224,215.28,-0.00549316,,,110.358,0.01,,18,-9.26147,40.9625,0.49,0,0,,,351.595
,51111,49.0539,8.30232,-7.76733,0.3,,0,,359.989,138.307,,,0.02,0,,,50.2734,215.28,-0.00549316,,,120.553,0.03,,18,-9.77234,40.5011,0.29,0,0,,,352.233
,51112,49.0539,8.30232,-2.37854,0.3,,0,,359.989,138.307,,,0.02,0,,,49.4275,215.28,-0.00549316,,,120.553,0.03,,18,-3.9386,45.4889,0.29,0,0,,,357.621
,51113,49.0539,8.30232,-2.37854,0.3,,0,,359.989,140.691,,,0.02,0,,,48.3124,215.28,-0.00549316,,,127.996,0.02,,18,-3.9386,44.3738,0.29,0,0,,,357.621
,51114,49.0539,8.30232,2.05994,0.5,,0,,359.989,140.691,,,0.02,0,,,48.5431,215.28,-0.00549316,,,127.996,0.02,,18,1.16455,49.7076,0.49,0,0,,,2.05994
,51115,49.0539,8.30232,1.69189,0.6,,0,,359.989,142.059,,,0.01,0,,,50.2405,215.28,-0.00549316,,,133.281,0.01,,18,0.966797,51.2073,0.59,0,0,,,1.56555
,51117,49.0539,8.30232,1.56555,0.8,,0,,359.989,142.059,,,0.01,0,,,51.1414,215.28,-0.00549316,,,133.281,0.01,,18,1.4447,52.5861,0.79,0,0,,,1.56555
