DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,37301,49.054,8.30242,128.068,0.5,,0,,359.989,314.758,,,0,0,,,61.9629,216.02,-0.00549316,,,315.654,0.01,,20,128.463,190.426,0.49,0,0,,,128.068
,37301,49.054,8.30242,128.068,0.5,,0,,359.989,314.758,,,0,0,,,61.9684,216.02,-0.00549316,,,315.654,0.01,,20,128.463,190.432,0.49,0,0,,,128.068
,37301,49.054,8.30242,129.067,0.6,,0,,359.989,314.758,,,0,0,,,61.9684,216.02,-0.00549316,,,315.654,0.01,,20,129.545,191.514,0.59,0,0,,,129.067
,37301,49.054,8.30242,129.067,0.6,,0,,359.989,314.758,,,0,0,,,62.1002,216.02,-0.00549316,,,315.654,0.01,,20,129.545,191.646,0.59,0,0,,,129.067
,37312,49.054,8.30243,136.187,0.5,,0,,359.989,311.177,,,0,0,,,61.8915,216.02,-0.00549316,,,89.9945,0,,20,137.433,199.325,0.5,0,0,,,136.187
,37312,49.054,8.30243,136.187,0.5,,0,,359.989,311.177,,,0,0,,,61.9958,216.02,-0.00549316,,,89.9945,0,,20,137.433,199.429,0.5,0,0,,,136.187
,37312,49.054,8.30243,136.187,0.5,,0,,359.989,311.177,,,0,0,,,61.9519,216.02,-0.00549316,,,89.9945,0,,20,137.433,199.385,0.5,0,0,,,136.187
,37313,49.054,8.30243,136.187,0.5,,0,,359.989,311.177,,,0,0,,,62.1112,216.02,-0.00549316,,,89.9945,0,,20,137.433,199.545,0.5,0,0,,,136.187
,37313,49.054,8.30243,136.516,0.3,,0,,359.989,310.204,,,0,0,,,62.0947,216.02,-0.00549316,,,89.9945,0.02,,20,137.741,199.819,0.29,0,0,,,136.516
,37314,49.054,8.30243,136.516,0.3,,0,,359.989,310.204,,,0,0,,,62.2046,216.02,-0.00549316,,,89.9945,0.02,,20,137.741,199.946,0.29,0,0,,,136.516
,37314,49.054,8.30243,136.516,0.3,,0,,359.989,310.204,,,0,0,,,62.1552,216.02,-0.00549316,,,89.9945,0.02,,20,137.741,199.869,0.29,0,0,,,136.516
,37314,49.054,8.30243,136.516,0.3,,0,,359.989,310.204,,,0,0,,,62.0453,216.02,-0.00549316,,,89.9945,0.02,,20,137.741,199.786,0.29,0,0,,,136.516
,37315,49.054,8.30243,136.516,0.3,,0,,359.989,310.204,,,0,0,,,62.0123,216.02,-0.00549316,,,89.9945,0.02,,20,137.741,199.753,0.29,0,0,,,136.516
