DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,43325,49.0559,8.30488,-111.802,1,,0.38,,38.573,45.1263,,,0.12,0.01,,,39.8309,216.64,-0.00549316,,,58.667,0.5,,18,-121.487,278.344,1.09,0,-0.2,,,248.198
,43325,49.0559,8.30488,-111.802,1,,0.38,,38.573,45.1263,,,0.12,0.01,,,39.754,216.64,-0.00549316,,,58.667,0.5,,18,-121.487,278.267,1.09,0,-0.2,,,248.198
,43325,49.0559,8.30488,-111.802,1,,0.38,,38.573,45.1263,,,0.12,0.01,,,39.8804,216.64,-0.00549316,,,58.667,0.5,,18,-121.487,278.394,1.09,0,-0.2,,,248.198
,43326,49.0559,8.30488,-111.802,1,,0.38,,38.573,45.1263,,,0.12,0.01,,,39.8804,216.64,-0.00549316,,,58.667,0.5,,18,-121.487,278.361,1.09,0,-0.2,,,249.192
,43326,49.0559,8.30488,-110.808,1,,0.38,,38.573,45.1263,,,0.12,0.01,,,39.8474,216.64,-0.00549316,,,58.667,0.5,,18,-120.762,279.086,1.09,0,-0.2,,,249.192
,43327,49.0559,8.30488,-91.192,1,,0.38,,38.595,45.7086,,,0.12,0.01,,,39.6771,216.64,-0.00549316,,,59.8645,0.48,,18,-102.393,297.301,1.02,0,-0.09,,,268.808
,43328,49.0559,8.30488,-83.1335,1,,0.38,,38.606,45.7086,,,0.12,0.01,,,39.2981,216.64,-0.00549316,,,59.8645,0.48,,18,-94.5648,304.733,1,0,-0.04,,,276.866
,,49.0559,8.30488,-81.8646,1,,0.38,,38.606,45.7855,,,0.12,0.01,,,39.9683,216.64,-0.00549316,,,59.8645,0.51,,18,-93.4662,306.502,0.99,0,-0.04,,,278.135
,,,,-88.8025,1,,0.37,,38.6169,45.7855,,,,0.01,,,40.5341,216.64,-0.00549316,,,,0.51,,18,-99.635,300.899,1.01,0,-0.07,,,271.198
,43332,,,-95.7898,1,,0.38,,38.6279,45.9229,,,,0.01,,,40.4077,216.64,-0.00549316,,,,0.5,,18,-106.688,293.719,1.04,0,-0.07,,,264.21
,43333,49.056,8.3049,-94.5154,1,,0.38,,38.6499,45.9229,,,,0.01,,,40.2539,216.64,-0.00549316,,,,0.5,,18,-105.623,294.631,1.03,0,-0.16,,,265.485
,43334,49.056,8.3049,-88.3246,1,,0.38,,38.6609,46.5051,,,,0.01,,,39.8309,216.64,-0.00549316,,,,0.48,,18,-99.635,300.196,1.01,0,-0.07,,,271.675
