DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,26459,49.054,8.30243,-148.491,1.7,,0,,359.989,351.205,,,0.03,0,,,59.3372,219.28,-0.00549316,,,351.431,0.02,,18,-148.475,270.862,1.7,0,0,,,211.509
,26459,49.054,8.30243,-148.491,1.7,,0,,359.989,351.205,,,0.03,0,,,59.3372,219.28,-0.00549316,,,351.431,0.02,,18,-148.475,270.862,1.7,0,0,,,211.509
,26459,49.054,8.30243,-148.491,1.7,,0,,359.989,351.205,,,0.03,0,,,59.2438,219.28,-0.00549316,,,351.431,0.02,,18,-148.475,270.769,1.7,0,0,,,211.509
,26459,49.054,8.30243,-148.491,1.7,,0,,359.989,351.205,,,0.03,0,,,59.2438,219.28,-0.00549316,,,351.431,0.02,,18,-148.475,270.769,1.7,0,0,,,211.509
,26459,49.054,8.30243,-148.491,1.7,,0,,359.989,351.205,,,0.03,0,,,59.2438,219.28,-0.00549316,,,351.431,0.02,,18,-148.475,270.769,1.7,0,0,,,210.998
,26466,49.054,8.30243,-127.491,2.7,,0,,359.989,349.514,,,0.01,0,,,59.5569,219.28,-0.00549316,,,350.37,0.05,,18,-127.617,291.94,2.7,0,0,,,232.509
,26466,49.054,8.30243,-129.76,2.7,,0,,359.989,349.514,,,0.01,0,,,59.2603,219.28,-0.00549316,,,350.37,0.05,,18,-127.617,291.643,2.7,0,0,,,230.24
,26466,49.054,8.30243,-138.631,2.7,,0,,359.989,349.514,,,0.01,0,,,59.3921,219.28,-0.00549316,,,350.37,0.05,,18,-127.617,291.775,2.7,0,0,,,221.369
,26466,49.054,8.30243,-127.491,2.7,,0,,359.989,349.514,,,0.01,0,,,59.2493,219.28,-0.00549316,,,350.37,0.05,,18,-127.617,291.94,2.7,0,0,,,232.509
,26467,49.054,8.30243,-129.76,2.7,,0,,359.989,349.514,,,0.01,0,,,59.5569,219.28,-0.00549316,,,350.37,0.05,,18,-127.617,291.94,2.7,0,0,,,230.24
,26467,49.054,8.30242,-146.168,2.8,,0,,359.989,349.514,,,0.01,0,,,59.4855,219.28,-0.00549316,,,350.37,0.05,,18,-146.217,273.268,2.8,0,0,,,213.832
,26467,49.054,8.30242,-146.168,2.8,,0,,359.989,349.514,,,0.01,0,,,59.4415,219.28,-0.00549316,,,350.37,0.05,,18,-146.217,273.224,2.8,0,0,,,213.832
,26467,49.054,8.30242,-165.174,3,,0,,359.989,349.514,,,0.01,0,,,59.068,219.28,-0.00549316,,,350.37,0.05,,18,-146.217,272.851,2.8,0,0,,,194.826
,26467,49.054,8.30242,-165.174,3,,0,,359.989,349.514,,,0.01,0,,,59.5129,219.28,-0.00549316,,,350.37,0.05,,18,-165.146,254.366,3,0,0,,,194.826
,26467,49.054,8.30242,-165.174,3,,0,,359.989,348.876,,,0.01,0,,,59.6283,219.28,-0.00549316,,,350.37,0.07,,18,-158.747,260.881,3,0,0,,,200.852
,26467,49.054,8.30242,-153.364,3.4,,0,,359.989,348.876,,,0.01,0,,,59.7546,219.28,-0.00549316,,,350.37,0.07,,18,-153.292,266.462,3.2,0,0,,,206.636
,26467,49.054,8.30242,-155.577,3.2,,0,,359.989,348.876,,,0.01,0,,,59.2932,219.28,-0.00549316,,,350.37,0.07,,18,-153.292,266.001,3.4,0,0,,,211.388
,26467,49.054,8.30242,-149.024,3,,0,,359.989,348.876,,,0.05,0,,,59.4965,219.28,-0.00549316,,,349.321,0.07,,18,-148.925,270.571,3,0,0,,,210.976
,26475,49.054,8.30242,-149.024,3,,0,,359.989,348.876,,,0.06,0,,,59.1559,219.28,-0.00549316,,,349.31,0.07,,18,-151.721,267.435,2.8,0,0,,,210.976
,26476,49.054,8.3024,-153.781,2.7,,0,,359.989,349.805,,,0.06,0,,,59.035,219.28,-0.00549316,,,349.31,0.06,,18,-151.26,267.775,2.8,0,0,,,206.219
,26476,49.054,8.3024,-153.781,2.7,,0,,359.989,349.805,,,0.06,0,,,59.035,219.28,-0.00549316,,,349.31,0.06,,18,-153.633,265.402,2.7,0,0,,,206.219
,26476,49.054,8.3024,-158.588,2.2,,0,,359.989,349.805,,,0.06,0,,,59.7491,219.28,-0.00549316,,,349.31,0.06,,18,-150.601,269.149,2.7,0,0,,,201.412
,26476,49.054,8.3024,-158.588,2.2,,0,,359.989,349.805,,,0.06,0,,,59.7272,219.28,-0.00549316,,,349.31,0.06,,18,-159.851,259.876,2.2,0,0,,,201.412
,26476,49.054,8.3024,-145.569,2.3,,0,,359.989,350.898,,,0.06,0,,,59.7217,219.28,-0.00549316,,,349.31,0.07,,18,-159.851,259.871,2.2,0,0,,,214.431
,26476,49.054,8.3024,-145.316,2.3,,0,,359.989,350.898,,,0.06,0,,,60.0073,219.28,-0.00549316,,,349.31,0.07,,18,-145.421,274.587,2.3,0,0,,,214.684
,26476,49.054,8.3024,-140.07,2.7,,0,,359.989,352.31,,,0.07,0,,,59.9469,219.28,-0.00549316,,,350.618,0.06,,18,-135.989,283.958,2.5,0,0,,,219.93
,26476,49.054,8.3024,-143.058,2.7,,0,,359.989,352.31,,,0.07,0,,,59.7491,219.28,-0.00549316,,,350.618,0.06,,18,-142.971,276.779,2.7,0,0,,,216.942
,26476,49.054,8.3024,-141.949,2.7,,0,,359.989,352.31,,,0.07,0,,,59.3262,219.28,-0.00549316,,,351.464,0.06,,18,-141.921,277.405,2.7,0,0,,,218.051
,26476,49.054,8.3024,-141.949,2.7,,0,,359.989,352.31,,,0.07,0,,,59.0076,219.28,-0.00549316,,,351.464,0.06,,18,-166.135,252.872,2.5,0,0,,,218.051
,26476,49.054,8.3024,-141.949,2.7,,0,,359.989,354.567,,,0.07,0,,,59.2987,219.28,-0.00549316,,,351.464,0.07,,18,-166.135,253.163,2.5,0,0,,,218.051
,26476,49.054,8.3024,-173.892,2.5,,0,,359.989,354.567,,,0.07,0,,,59.1724,219.28,-0.00549316,,,351.464,0.07,,18,-173.82,245.352,2.5,0,0,,,186.108
,26476,49.054,8.3024,127.886,0.3,,0,,359.989,355.001,,,0.07,0,,,59.7656,219.28,-0.00549316,,,351.464,0.09,,18,-173.82,245.945,2.5,0,0,,,127.886
