DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,46702,49.0542,8.3031,-69.3018,1.7,,0,,222.759,135.066,,,1.04,0.6,,,315.066,224.73,-0.00549316,,,124.25,0.84,,19,-60.5457,254.52,1.5,0,0,,,290.698
,46702,49.0542,8.3031,-69.3018,1.7,,0,,222.759,135.066,,,1.04,0.6,,,314.379,224.73,-0.00549316,,,124.25,0.84,,19,-60.5457,253.834,1.5,0,0,,,299.745
,46702,49.0542,8.3031,-60.2545,1.5,,0,,222.759,135.066,,,1.04,0.6,,,314.379,224.73,-0.00549316,,,124.25,0.84,,19,-60.5457,253.834,1.5,0,0,,,299.745
,46702,49.0542,8.3031,-60.2545,1.5,,0,,222.759,135.066,,,1.04,0.6,,,313.923,224.73,-0.00549316,,,124.25,0.84,,19,-60.5457,253.378,1.5,0,0,,,299.745
,46702,49.0542,8.3031,-60.2545,1.5,,0,,222.759,135.066,,,1.04,0.6,,,313.923,224.73,-0.00549316,,,124.25,0.84,,18,-60.5457,252.719,1.5,0,0,,,299.745
,46702,49.0542,8.3031,-60.2545,1.5,,0,,222.759,131.199,,,1.04,0.6,,,313.264,224.73,-0.00549316,,,124.25,0.69,,18,-60.5457,252.719,1.5,0,0,,,299.745
,46702,49.0542,8.3031,-60.2545,1.5,,0,,222.759,131.199,,,0.95,0.6,,,313.264,224.73,-0.00549316,,,128.611,0.69,,18,-49.812,262.947,1.09,0,0,,,299.745
,46707,49.0542,8.3031,-50.9216,0.8,,0,,222.759,121.399,,,0.86,0.6,,,306.453,224.73,-0.00549316,,,129.803,0.67,,18,-51.5808,253.477,0.8,0,0,,,309.078
,46709,49.0542,8.3031,-76.1078,1.5,,0,,222.759,89.5166,,,0.72,0.6,,,297.109,224.73,-0.00549316,,,119.68,0.76,,18,-73.2788,223.83,1.7,0,0,,,283.892
,46710,49.0542,8.3031,-73.0591,1.7,,0,,222.759,89.5166,,,0.72,0.6,,,295.994,224.73,-0.00549316,,,119.68,0.76,,18,-80.1288,214.618,1.8,0,0,,,286.941
,46710,49.0542,8.3031,-79.8541,1.8,,0,,222.759,89.5166,,,0.72,0.6,,,293.994,224.73,-0.00549316,,,119.68,0.76,,18,-80.1288,213.865,1.8,0,0,,,280.146
,46710,49.0542,8.3031,-79.8541,1.8,,0,,222.759,89.5166,,,0.72,0.6,,,292.742,224.73,-0.00549316,,,119.68,0.76,,18,-81.4032,211.339,2.2,0,0,,,280.146
,46711,49.0542,8.3031,-81.2494,2.2,,0,,222.759,89.5166,,,0.72,0.6,,,291.292,224.73,-0.00549316,,,119.68,0.76,,18,-80.8154,210.476,2.5,0,0,,,279.36
,46711,49.0542,8.3031,-80.6396,2.5,,0,,222.759,89.5166,,,0.72,0.6,,,291.33,224.73,-0.00549316,,,119.68,0.76,,18,-82.2052,209.125,2.5,0,0,,,279.36
,46711,49.0542,8.3031,-82.0679,2.5,,0,,222.759,69.6753,,,0.73,0.6,,,291.094,224.73,-0.00549316,,,108.237,0.9,,18,-84.7705,206.323,2.29,0,0,,,277.932
,46714,49.0542,8.3031,-80.365,1.8,,0.37,,222.759,51.0919,,,0.8,0.6,,,283.508,224.73,-0.00549316,,,93.4717,0.96,,18,-87.2809,196.227,1.68,0,0.02,,,279.635
,46715,49.0542,8.3031,-80.6342,1.7,,0.37,,222.759,51.0919,,,0.8,0.6,,,282.398,224.73,-0.00549316,,,93.4717,0.96,,18,-87.2974,195.101,1.48,0,0.02,,,279.366
,46715,49.0542,8.3031,-79.8981,1.5,,0.39,,222.77,51.0919,,,0.8,0.6,,,282.014,224.73,-0.00549316,,,93.4717,0.96,,18,-87.2974,194.716,1.48,0,0.02,,,280.102
,46715,49.0542,8.3031,-79.8981,1.5,,0.39,,222.77,34.2169,,,0.96,0.6,,,281.212,224.73,-0.00549316,,,81.145,1,,18,-89.1101,192.101,1.28,0,0.01,,,280.102
,46716,49.0542,8.3031,-79.8761,1.3,,0.39,,222.77,34.2169,,,0.96,0.6,,,278.295,224.73,-0.00549316,,,81.145,1,,18,-89.1101,189.185,1.28,0,0.01,,,280.124
,46719,49.0542,8.3031,-69.2908,0.5,,0.23,,222.803,18.7756,,,1.14,0.6,,,269.017,224.73,-0.00549316,,,57.0026,1.05,,18,-83.9355,185.081,0.47,0,-0.07,,,290.709
,46719,49.0542,8.3031,-69.2908,0.5,,0.23,,222.803,5.88318,,,1.14,0.6,,,267.918,224.73,-0.00549316,,,57.0026,1.07,,18,-83.9355,183.983,0.47,0,0.02,,,290.709
,46720,49.0542,8.3031,-69.2908,0.5,,0.23,,222.803,5.88318,,,1.14,0.6,,,267.105,224.73,-0.00549316,,,57.0026,1.07,,18,-65.7861,201.319,0.43,0,0.02,,,306.953
,46720,49.0542,8.3031,-53.0475,0.5,,0.23,,222.803,5.88318,,,1.14,0.6,,,267.231,224.74,-0.00549316,,,57.0026,1.07,,18,-65.7861,201.445,0.43,0,0.09,,,306.953
,46721,49.0542,8.3031,-53.0475,0.5,,0.25,,222.803,5.88318,,,1.14,0.6,,,265.358,224.74,-0.00549316,,,57.0026,1.07,,18,-59.5953,205.763,0.73,0,0.09,,,308.639
,46722,49.0542,8.30308,-50.0812,0.8,,0.25,,222.814,355.237,,,1.14,0.6,,,261.804,224.74,-0.00549316,,,42.3523,1.08,,18,-58.5132,203.291,0.72,0,0.12,,,309.919
,46723,49.0542,8.30308,-49.0375,1,,0.29,,222.814,355.237,,,1.14,0.6,,,259.596,224.74,-0.00549316,,,42.3523,1.08,,18,-55.5249,204.071,1,0,0.14,,,311.512
,46727,49.0542,8.30307,-59.0515,1.8,,0,,222.825,337.385,,,1.08,0.6,,,249.296,224.74,-0.00549316,,,6.25122,1.01,,18,-53.1299,196.166,1.8,0,0,,,300.948
,46727,49.0542,8.30307,-52.9761,1.8,,0,,222.825,330.002,,,1.08,0.6,,,248.297,224.74,-0.00549316,,,6.25122,1.03,,18,-49.8834,198.413,2,0,0,,,310.43
,46728,49.0542,8.30305,-49.5703,2,,0.35,,222.825,330.002,,,1.08,0.6,,,245.896,224.74,-0.00549316,,,6.25122,1.03,,18,-62.9132,182.983,1.9,0,0,,,310.43
,46728,49.0542,8.30305,-58.2275,2,,0.35,,222.825,330.002,,,1.08,0.6,,,244.451,224.74,-0.00549316,,,6.25122,1.03,,18,-64.66,179.791,1.91,0,0.15,,,300.284
,46729,49.0542,8.30305,-54.679,2,,0.35,,222.836,330.002,,,1.04,0.6,,,243.067,224.74,-0.00549316,,,355.259,1.03,,18,-56.4148,186.652,1.89,0,0.15,,,305.321
,46729,49.0542,8.30305,-54.679,2,,0.35,,222.836,330.002,,,1.04,0.6,,,243.067,224.74,-0.00549316,,,355.259,1.03,,18,-56.4148,186.652,1.89,0,0.15,,,305.321
