DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,26135,49.054,8.30233,-63.4186,1.1,,0,,359.989,344.339,,,0.01,0,,,53.8879,225.19,-0.00549316,,,344.872,0.03,,17,-63.6768,350.211,1.1,,0,,,296.581
,26135,49.054,8.30233,-63.4186,1.1,,0,,359.989,344.339,,,0.01,0,,,53.8879,225.19,-0.00549316,,,344.872,0.03,,17,-63.6768,350.211,1.1,,0,,,296.581
,26137,49.054,8.30233,-63.8141,1.3,,0,,359.989,344.301,,,0.03,0,,,53.5364,225.19,-0.00549316,,,344.652,0.06,,17,-64.4403,349.096,1.29,0,0,,,296.186
,26137,49.054,8.30233,-63.8141,1.3,,0,,359.989,344.301,,,0.03,0,,,53.7012,225.19,-0.00549316,,,344.652,0.06,,17,-64.0393,349.662,1.3,0,0,,,296.186
,26137,49.054,8.30233,-63.8141,1.3,,0,,359.989,344.301,,,0.03,0,,,53.822,225.19,-0.00549316,,,344.652,0.06,,17,-62.666,351.156,1.3,0,0,,,296.186
,26139,49.054,8.30233,-59.3207,1.3,,0,,359.989,344.301,,,0.04,0,,,53.5364,225.19,-0.00549316,,,344.515,0.06,,17,-56.3324,357.204,1.29,0,0,,,300.679
,26140,49.054,8.30233,-52.8058,1.3,,0,,359.989,344.224,,,0.04,0,,,53.5638,225.19,-0.00549316,,,344.515,0.06,,17,-53.1299,0.43396,1.3,0,0,,,307.194
,26141,49.054,8.30233,-46.9006,1.3,,0,,359.989,344.224,,,0.05,0,,,53.3112,225.19,-0.00549316,,,344.421,0.06,,17,-47.5049,5.80627,1.3,0,0,,,313.099
,26142,49.054,8.30233,-46.9556,1.3,,0,,359.989,344.064,,,0.05,0,,,53.5089,225.19,-0.00549316,,,344.421,0.03,,17,-46.8677,6.64124,1.3,0,0,,,313.044
,26143,49.054,8.30233,-45.4779,1.3,,0,,359.989,344.064,,,0.05,0,,,53.5089,225.19,-0.00549316,,,344.323,0.03,,17,-45.6372,7.8717,1.3,0,0,,,314.522
,26144,49.054,8.30233,-43.9783,1.3,,0,,359.989,343.729,,,0.05,0,,,53.1244,225.19,-0.00549316,,,344.323,0.02,,17,-44.621,8.50342,1.09,0,0,,,316.022
