DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,41502,49.0539,8.30232,-47.5763,3,,0,,359.989,139.417,,,,0,,,52.4268,228.6,-0.00549316,,,,0.04,,18,-47.7191,4.70764,3,0,0,,,312.424
,41505,49.0539,8.30232,-50.647,2.7,,0,,359.989,136.978,,,0.06,0,,,52.674,228.6,-0.00549316,,,142.355,0.01,,18,-53.3057,359.368,2.69,0,0,,,309.353
,41506,49.0539,8.30232,-53.1848,2.7,,0,,359.989,136.978,,,0.06,0,,,52.8333,228.6,-0.00549316,,,142.355,0.01,,18,-53.3057,359.528,2.69,0,0,,,306.815
,41506,49.0539,8.30232,-53.1848,2.7,,0,,359.989,136.978,,,0.06,0,,,52.652,228.6,-0.00549316,,,142.355,0.01,,18,-53.3057,359.346,2.69,0,0,,,308.353
,41506,49.0539,8.30232,-51.6467,2.7,,0,,359.989,136.978,,,0.06,0,,,52.5092,228.6,-0.00549316,,,142.355,0.01,,18,-51.7896,0.719604,2.69,0,0,,,308.353
,41506,49.0539,8.30232,-51.6467,2.7,,0,,359.989,136.978,,,0.03,0,,,52.5366,228.6,-0.00549316,,,140.405,0.01,,18,-51.7896,0.74707,2.69,0,0,,,308.353
,41507,49.0539,8.30232,-43.3521,2.7,,0,,359.989,136.978,,,0.03,0,,,52.641,228.6,-0.00549316,,,140.405,0.01,,18,-43.4894,9.15161,2.7,0,0,,,316.648
,41508,49.0539,8.30232,-50.1636,2.5,,0,,359.989,136.538,,,0.03,0,,,52.663,228.6,-0.00549316,,,138.944,0.01,,18,-50.213,2.44995,2.49,0,0,,,301.756
,41509,49.0539,8.30232,-61.1169,2.5,,0,,359.989,136.538,,,0.03,0,,,52.5806,228.6,-0.00549316,,,138.944,0.01,,18,-61.2982,351.282,2.49,0,0,,,297.889
,41510,49.0539,8.30232,-60.0568,2.3,,0,,359.989,136.664,,,0.02,0,,,52.5146,228.6,-0.00549316,,,137.994,0,,18,-60.3314,352.183,2.3,0,0,,,297.23
,41511,49.0539,8.30232,-56.4862,2.3,,0,,359.989,136.664,,,0.02,0,,,52.4268,228.6,-0.00549316,,,137.994,0,,18,-56.7444,355.682,2.29,0,0,,,303.865
,41512,49.0539,8.30232,-62.9517,2.3,,0,,359.989,137.362,,,0.02,0,,,52.3004,228.6,-0.00549316,,,137.576,0.05,,18,-63.111,349.189,2.29,0,0,,,301.707
,41513,49.0539,8.30232,-56.7719,2.3,,0,,359.989,137.362,,,0.02,0,,,52.3389,228.6,-0.00549316,,,137.576,0.05,,18,-57.0905,355.248,2.29,0,0,,,303.228
,41514,49.0539,8.30232,-62.8912,2.3,,0,,359.989,138.505,,,0.03,0,,,52.4762,228.6,-0.00549316,,,137.626,0.07,,18,-63.111,349.365,2.29,0,0,,,297.109
,41515,49.0539,8.30232,-60.639,2.5,,0,,359.989,138.505,,,0.03,0,,,52.4872,228.6,-0.00549316,,,137.626,0.07,,18,-60.7764,351.711,2.49,0,0,,,301.086
,41516,49.0539,8.30232,-60.6775,2.3,,0,,359.989,140.262,,,0.04,0,,,52.3663,228.6,-0.00549316,,,138.192,0.08,,18,-60.8862,351.48,2.3,0,0,,,297.971
,41517,49.0539,8.30232,-63.067,2.3,,0,,359.989,140.262,,,0.04,0,,,52.1356,228.6,-0.00549316,,,138.192,0.08,,18,-63.111,349.025,2.29,0,0,,,296.933
,41518,49.0539,8.30232,-68.5272,2.3,,0,,359.989,142.421,,,0.06,0,,,52.2015,228.6,-0.00549316,,,139.285,0.09,,18,-68.5876,343.614,2.29,0,0,,,294.868
,41519,49.0539,8.30232,-64.9622,2.2,,0,,359.989,142.421,,,0.06,0,,,52.1466,228.6,-0.00549316,,,139.285,0.09,,18,-65.3137,346.833,2.2,0,0,,,295.038
,41520,49.0539,8.30232,-63.1165,2.2,,0,,359.989,144.921,,,0.06,0,,,52.3553,228.6,-0.00549316,,,140.85,0.09,,18,-63.3252,349.03,2.2,0,0,,,296.494
,41521,49.0539,8.30232,-57.7332,2,,0,,359.989,144.921,,,0.06,0,,,52.3553,228.6,-0.00549316,,,140.85,0.09,,18,-57.9089,354.446,1.99,0,0,,,300.135
,41522,49.0539,8.30232,-59.3701,2.2,,0,,359.989,147.393,,,0.08,0,,,52.3993,228.6,-0.00549316,,,142.789,0.1,,18,-59.7272,352.672,2.2,0,0,,,300.63
,41523,49.0539,8.30232,-59.046,2.2,,0,,359.989,147.393,,,0.08,0,,,52.1246,228.6,-0.00549316,,,142.789,0.1,,18,-59.1504,352.974,2.2,0,0,,,300.954
,41524,49.0539,8.30232,-63.1879,2,,0,,359.989,149.584,,,0.09,0,,,52.0477,228.6,-0.00549316,,,144.91,0.1,,18,-63.3142,348.734,2,0,0,,,297.708
,41525,49.0539,8.30232,-60.2106,2,,0,,359.989,149.584,,,0.09,0,,,52.1356,228.6,-0.00549316,,,144.91,0.1,,18,-60.3754,351.76,2,0,0,,,301.157
,41526,49.0539,8.30232,-62.0837,2.2,,0,,359.989,151.556,,,0.09,0,,,52.0477,228.6,-0.00549316,,,146.915,0.1,,18,-62.4078,349.64,2.2,0,0,,,298.477
,41527,49.0539,8.30232,-62.1497,2.2,,0,,359.989,151.556,,,0.09,0,,,52.3389,228.6,-0.00549316,,,146.915,0.1,,18,-62.4078,349.931,2.2,0,0,,,297.85
,41528,49.0539,8.30232,-61.2433,2.2,,0,,359.989,153.094,,,0.09,0,,,52.5037,228.6,-0.00549316,,,148.881,0.05,,18,-61.474,351.03,2.19,0,0,,,298.13
,41529,49.0539,8.30232,-63.858,2.2,,0,,359.989,153.094,,,0.09,0,,,52.3828,228.6,-0.00549316,,,148.881,0.05,,18,-64.1492,348.234,2.2,0,0,,,297.625
,41530,49.0539,8.30232,-63.3856,2.2,,0,,359.989,153.638,,,0.07,0,,,52.2015,228.6,-0.00549316,,,150.612,0.03,,18,-63.5559,348.646,2.2,0,0,,,295.51
,41532,49.0539,8.30232,-64.0723,2,,0,,359.989,153.638,,,0.07,0,,,52.2125,228.6,-0.00549316,,,150.612,0.03,,18,-64.2206,347.992,1.99,0,0,,,296.949
,41533,49.0539,8.30232,-62.5616,2,,0,,359.989,153.029,,,0.06,0,,,52.1466,228.6,-0.00549316,,,151.793,0.04,,18,-62.688,349.459,2,0,0,,,297.438
