DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,28727,49.054,8.30238,147.09,0.3,,0,,359.989,247.198,,,0,0,,,60.2271,229.35,-0.00549316,,,89.9945,0,,18,148.409,208.636,0.3,0,0,,,147.09
,28728,49.054,8.30238,147.09,0.3,,0,,359.989,247.192,,,0,0,,,60.1062,229.35,-0.00549316,,,89.9945,0,,18,148.409,208.515,0.3,0,0,,,147.09
,28728,49.054,8.30238,147.09,0.3,,0,,359.989,247.192,,,0,0,,,59.9304,229.35,-0.00549316,,,89.9945,0,,18,148.409,208.339,0.3,0,0,,,147.09
,28729,49.054,8.30238,147.838,0.3,,0,,359.989,247.192,,,0,0,,,60.3204,229.35,-0.00549316,,,89.9945,0,,18,150.035,210.355,0.3,0,0,,,147.838
,28730,49.054,8.30238,147.838,0.3,,0,,359.989,247.061,,,0,0,,,59.9963,229.35,-0.00549316,,,89.9945,0,,18,150.035,210.031,0.3,0,0,,,147.838
,28731,49.054,8.30238,146.986,0.3,,0,,359.989,247.061,,,0,0,,,59.892,229.35,-0.00549316,,,89.9945,0,,18,148.409,208.301,0.3,0,0,,,146.986
,28732,49.054,8.30238,147.101,0.3,,0,,359.989,246.896,,,0,0,,,60.1392,229.35,-0.00549316,,,89.9945,0,,18,148.409,208.548,0.3,0,0,,,147.101
,28733,49.054,8.30238,147.101,0.3,,0,,359.989,246.896,,,0,0,,,59.7821,229.35,-0.00549316,,,89.9945,0,,18,148.409,208.191,0.3,0,0,,,147.101
,28734,49.054,8.30238,147.744,0.3,,0,,359.989,246.654,,,0,0,,,59.903,229.35,-0.00549316,,,89.9945,0,,18,150.035,209.938,0.3,0,0,,,147.744
,28735,49.054,8.30238,149.068,0.3,,0,,359.989,246.654,,,0,0,,,59.8315,229.35,-0.00549316,,,89.9945,0,,18,150.035,209.866,0.3,0,0,,,149.068
,28736,49.054,8.3024,149.068,0.3,,0,,359.989,246.407,,,0,0,,,59.903,229.35,-0.00549316,,,89.9945,0,,18,150.035,209.938,0.3,0,0,,,149.068
,28737,49.054,8.3024,149.612,0.5,,0,,359.989,246.407,,,0,0,,,60.4633,229.35,-0.00549316,,,89.9945,0,,18,150.408,210.872,0.5,0,0,,,149.612
