DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,30408,49.054,8.30237,-148.145,1.1,,0,,359.989,252.065,,,0.01,0,,,54.4043,233.24,-0.00549316,,,252.889,0.03,,18,-148.337,266.067,1.1,0,0,,,211.855
,30408,49.054,8.30237,-148.145,1.1,,0,,359.989,252.065,,,0.01,0,,,54.5142,233.24,-0.00549316,,,252.889,0.03,,18,-148.337,266.177,1.1,0,0,,,211.855
,30408,49.054,8.30237,-148.145,1.1,,0,,359.989,252.065,,,0.01,0,,,54.5801,233.24,-0.00549316,,,252.889,0.03,,18,-148.337,266.243,1.1,0,0,,,211.855
,30410,49.054,8.30237,-152.051,1.3,,0,,359.989,252.103,,,0.02,0,,,54.3439,233.24,-0.00549316,,,252.565,0.03,,18,-152.078,262.266,1.3,0,0,,,207.949
,30410,49.054,8.30237,-154.248,1.5,,0,,359.989,252.103,,,0.02,0,,,54.6295,233.24,-0.00549316,,,252.565,0.03,,18,-153.962,260.667,1.5,0,0,,,205.752
,30410,49.054,8.30237,-154.248,1.5,,0,,359.989,252.103,,,0.02,0,,,54.8053,233.24,-0.00549316,,,252.565,0.03,,18,-153.962,260.843,1.5,0,0,,,205.752
,30411,49.054,8.30237,-162.526,1.5,,0,,359.989,251.532,,,0.01,0,,,54.6844,233.24,-0.00549316,,,252.279,0.04,,18,-162.296,252.389,1.51,0,0,,,200.901
,30412,49.054,8.30237,-149.716,1.5,,0,,359.989,251.532,,,0.01,0,,,54.3988,233.24,-0.00549316,,,252.279,0.04,,18,-149.711,264.688,1.5,0,0,,,210.284
,30413,49.054,8.30235,-145.739,1.7,,0,,359.989,250.84,,,0.03,0,,,54.668,233.24,-0.00549316,,,251.856,0.05,,18,-145.761,268.907,1.7,0,0,,,203.758
,30414,49.054,8.30235,-155.204,1.7,,0,,359.989,250.84,,,0.03,0,,,54.7723,233.24,-0.00549316,,,251.856,0.05,,18,-155.105,259.667,1.7,0,0,,,206.807
,30415,49.054,8.30235,-148.112,1.8,,0,,359.989,251.224,,,0.03,0,,,54.6844,233.24,-0.00549316,,,251.516,0.05,,18,-148.173,266.512,1.8,0,0,,,211.674
,30416,49.054,8.30235,-150.112,1.8,,0,,359.989,251.224,,,0.03,0,,,54.6515,233.24,-0.00549316,,,251.516,0.05,,18,-150.035,264.617,1.8,0,0,,,209.888
,30417,49.054,8.30235,-151.441,1.8,,0,,359.989,251.142,,,0.05,0,,,54.5197,233.24,-0.00549316,,,251.389,0.07,,18,-151.331,263.188,1.81,0,0,,,208.559
,30418,49.054,8.30235,-157.302,1.8,,0,,359.989,251.142,,,0.05,0,,,54.5526,233.24,-0.00549316,,,251.389,0.07,,18,-157.275,257.278,1.81,0,0,,,202.698
,30419,49.054,8.30235,-159.582,1.8,,0,,359.989,250.84,,,0.05,0,,,54.7559,233.24,-0.00549316,,,251.252,0.04,,18,-159.56,255.196,1.8,0,0,,,200.418
,30420,49.054,8.30235,-164.454,1.8,,0,,359.989,250.84,,,0.05,0,,,54.7119,233.24,-0.00549316,,,251.252,0.04,,18,-164.29,250.422,1.8,0,0,,,186.471
,30421,49.054,8.30235,-173.925,1.7,,0,,359.989,249.95,,,0.05,0,,,54.5801,233.24,-0.00549316,,,250.983,0.07,,18,-173.93,240.65,1.69,0,0,,,179.258
,30422,49.054,8.30235,178.489,1.5,,0,,359.989,249.95,,,0.05,0,,,54.6405,233.24,-0.00549316,,,250.983,0.07,,18,178.857,233.498,1.5,0,0,,,177.006
,30423,49.054,8.30237,172.332,1.5,,0,,359.989,248.445,,,0.05,0,,,54.6075,233.24,-0.00549316,,,250.384,0.04,,18,172.738,227.346,1.5,0,0,,,172.332
,30424,49.054,8.30237,167.789,1.5,,0,,359.989,248.445,,,0.05,0,,,54.6844,233.24,-0.00549316,,,250.384,0.04,,18,168.107,222.792,1.5,0,0,,,163.619
,30425,49.054,8.30237,161.087,1.3,,0,,359.989,247.972,,,0.04,0,,,54.4263,233.24,-0.00549316,,,249.549,0.05,,18,161.164,215.59,1.29,0,0,,,161.087
,30426,49.054,8.30237,153.814,1.5,,0,,359.989,247.972,,,0.04,0,,,54.5746,233.24,-0.00549316,,,249.549,0.05,,18,153.962,208.537,1.5,0,0,,,142.031
,30427,49.054,8.30238,133.423,1.3,,0,,359.989,248.005,,,0.05,0,,,54.7723,233.24,-0.00549316,,,248.917,0.03,,18,133.742,188.514,1.3,0,0,,,133.423
,30428,49.054,8.30238,138.098,1.1,,0,,359.989,248.005,,,0.05,0,,,54.5911,233.24,-0.00549316,,,248.917,0.03,,18,138.334,192.925,1.09,0,0,,,138.098
,30429,49.054,8.30238,150.139,1,,0,,359.989,248.143,,,0.04,0,,,54.7339,233.24,-0.00549316,,,248.56,0.01,,18,150.617,205.351,0.99,0,0,,,150.139
,30430,49.054,8.30238,165.756,0.8,,0,,359.989,248.143,,,0.04,0,,,54.657,233.24,-0.00549316,,,248.56,0.01,,18,166.317,220.974,0.8,0,0,,,178.231
