DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,54794,49.054,8.30233,-147.068,0.1,,0,,359.989,320.757,,,0.02,0,,,58.0243,234.56,-0.00549316,,,318.334,0,,20,-146.332,271.692,0.1,0,0,,,212.932
,54794,49.054,8.30233,-147.068,0.1,,0,,359.989,320.757,,,0.02,0,,,58.0243,234.56,-0.00549316,,,318.334,0,,20,-146.332,271.692,0.1,0,0,,,212.932
,54796,49.054,8.30233,-116.505,0.3,,0,,359.989,321.575,,,0.02,0,,,57.821,234.56,-0.00549316,,,319.219,0,,20,-117.389,300.432,0.3,0,0,,,243.495
,54796,49.054,8.30233,-116.505,0.3,,0,,359.989,321.575,,,0.02,0,,,57.8485,234.56,-0.00549316,,,319.219,0,,20,-117.389,300.46,0.3,0,0,,,243.495
,54797,49.054,8.30233,-113.522,0.3,,0,,359.989,321.575,,,0,0,,,57.8979,234.56,-0.00549316,,,320.026,0,,20,-113.187,304.711,0.3,0,0,,,246.478
,54798,49.054,8.30233,-113.522,0.3,,0,,359.989,322.526,,,0,0,,,57.9144,234.56,-0.00549316,,,320.026,0,,20,-113.187,304.728,0.3,0,0,,,246.478
,54799,49.054,8.30233,-113.121,0.3,,0,,359.989,322.526,,,0,0,,,57.2937,234.56,-0.00549316,,,89.9945,0,,20,-113.187,304.107,0.3,0,0,,,246.879
,54800,49.054,8.30233,-112.846,0.5,,0,,359.989,323.421,,,0,0,,,57.4805,234.56,-0.00549316,,,89.9945,0,,20,-113.038,304.442,0.51,0,0,,,247.154
,54801,49.054,8.30235,-112.846,0.5,,0,,359.989,323.421,,,0,0,,,57.7826,234.56,-0.00549316,,,89.9945,0,,20,-113.038,304.744,0.51,0,0,,,247.154
,54802,49.054,8.30235,-112.978,0.5,,0,,359.989,324.289,,,0,0,,,57.865,234.56,-0.00549316,,,89.9945,0.05,,20,-113.038,304.827,0.51,0,0,,,247.022
,54803,49.054,8.30235,-114.115,0.5,,0,,359.989,324.289,,,0.01,0,,,58.3099,234.56,-0.00549316,,,322.619,0.05,,20,-114.521,303.788,0.5,0,0,,,245.885
,54804,49.054,8.30235,-113.209,0.5,,0,,359.989,324.641,,,0.01,0,,,58.1671,234.56,-0.00549316,,,322.619,0.05,,20,-113.494,304.673,0.5,0,0,,,246.791
,54805,49.054,8.30235,-111.006,0.5,,0,,359.989,324.641,,,0.03,0,,,58.0627,234.56,-0.00549316,,,323.377,0.05,,20,-110.945,307.117,0.5,0,0,,,248.994
,54806,49.054,8.30235,-109.105,0.6,,0,,359.989,325.497,,,0.03,0,,,58.1616,234.56,-0.00549316,,,323.377,0.07,,20,-109.314,308.848,0.6,0,0,,,250.895
,54807,49.054,8.30233,-109.221,0.6,,0,,359.989,325.497,,,0.04,0,,,57.9034,234.56,-0.00549316,,,324.08,0.07,,20,-109.314,308.589,0.6,0,0,,,250.779
,54808,49.054,8.30233,-109.297,0.6,,0,,359.989,325.986,,,0.04,0,,,57.9089,234.56,-0.00549316,,,324.08,0.06,,20,-109.314,308.595,0.6,0,0,,,250.703
,54809,49.054,8.30233,-109.144,0.5,,0,,359.989,325.986,,,0.05,0,,,58.0078,234.56,-0.00549316,,,324.739,0.06,,20,-109.484,308.524,0.5,0,0,,,250.856
,54810,49.054,8.30233,-109.797,0.5,,0,,359.989,326.299,,,0.05,0,,,57.7167,234.56,-0.00549316,,,324.739,0.03,,20,-109.869,307.848,0.49,0,0,,,250.203
,54811,49.054,8.30232,-110.341,0.5,,0,,359.989,326.299,,,0.04,0,,,57.8595,234.56,-0.00549316,,,325.3,0.03,,20,-110.945,306.914,0.5,0,0,,,249.659
,54812,49.054,8.30232,-109.742,0.6,,0,,359.989,326.717,,,0.04,0,,,58.0023,234.56,-0.00549316,,,325.3,0.02,,20,-110.215,307.787,0.6,0,0,,,250.258
,54813,49.054,8.3023,-114.274,0.6,,0,,359.989,326.717,,,0.03,0,,,57.7716,234.56,-0.00549316,,,325.778,0.02,,20,-114.428,303.344,0.6,0,0,,,245.726
,54814,49.054,8.3023,-121.723,0.6,,0,,359.989,327.404,,,0.03,0,,,57.6892,234.56,-0.00549316,,,325.778,0.05,,20,-122.097,295.593,0.6,0,0,,,238.277
,54815,49.054,8.3023,-126.837,0.6,,0,,359.989,327.404,,,0.03,0,,,57.7936,234.56,-0.00549316,,,326.283,0.05,,20,-126.87,290.923,0.6,0,0,,,233.163
,54816,49.054,8.3023,-127.029,0.6,,0,,359.989,327.673,,,0.03,0,,,57.4036,234.56,-0.00549316,,,326.283,0.03,,20,-127.606,289.797,0.6,0,0,,,232.971
,54817,49.054,8.30232,-124.717,0.6,,0,,359.989,327.673,,,0.04,0,,,57.7441,234.56,-0.00549316,,,326.783,0.03,,20,-124.975,292.769,0.61,0,0,,,235.283
,54818,49.054,8.30232,-120.8,0.8,,0,,359.989,328.129,,,0.04,0,,,57.4915,234.56,-0.00549316,,,326.783,0.04,,20,-120.696,296.796,0.8,0,0,,,239.2
,54819,49.054,8.30233,-116.356,0.8,,0,,359.989,328.129,,,0.03,0,,,56.9586,234.56,-0.00549316,,,327.2,0.04,,20,-116.565,300.394,0.8,0,0,,,243.644
,54820,49.054,8.30233,-111.187,0.8,,0,,359.989,328.552,,,0.03,0,,,57.2498,234.56,-0.00549316,,,327.2,0.02,,20,-111.127,306.123,0.8,0,0,,,248.813
,54821,49.054,8.30233,-111.808,0.8,,0,,359.989,328.552,,,0.03,0,,,56.9037,234.56,-0.00549316,,,327.629,0.02,,20,-111.78,305.123,0.8,0,0,,,248.192
,54822,49.054,8.30233,-111.835,0.6,,0,,359.989,329.095,,,0.03,0,,,56.5851,234.56,-0.00549316,,,327.629,0.01,,20,-112.308,304.277,0.6,0,0,,,248.165
,54823,49.0539,8.30233,-112.445,0.6,,0,,359.989,329.095,,,0.03,0,,,56.7554,234.56,-0.00549316,,,328.063,0.01,,20,-112.308,304.448,0.6,0,0,,,247.555
,54824,49.0539,8.30233,-112.516,0.6,,0,,359.989,330.331,,,0.03,0,,,55.8929,234.56,-0.00549316,,,328.063,0.03,,20,-112.308,303.585,0.6,0,0,,,247.484
,54825,49.0539,8.30233,-116.208,0.6,,0,,359.989,330.331,,,0.01,0,,,55.8435,234.56,-0.00549316,,,328.634,0.03,,20,-116.565,299.279,0.6,0,0,,,243.792
,54826,49.0539,8.30233,-116.955,0.6,,0,,359.989,331.782,,,0.01,0,,,55.7281,234.56,-0.00549316,,,328.634,0.06,,20,-117.389,298.339,0.6,0,0,,,243.045
,54827,49.0539,8.30233,-118.372,0.6,,0,,359.989,331.782,,,0.03,0,,,55.2338,234.56,-0.00549316,,,329.496,0.06,,20,-118.669,296.565,0.6,0,0,,,241.628
,54828,49.0539,8.30233,-124.772,0.6,,0,,359.989,333.199,,,0.03,0,,,55.5084,234.56,-0.00549316,,,329.496,0.03,,20,-124.975,290.533,0.61,0,0,,,235.228
,54829,49.0539,8.30233,-129.996,0.6,,0,,359.989,333.199,,,0.04,0,,,55.0031,234.56,-0.00549316,,,330.59,0.03,,20,-130.276,284.727,0.6,0,0,,,230.004
,54830,49.0539,8.30233,-129.919,0.6,,0,,359.989,334.698,,,0.04,0,,,54.8987,234.56,-0.00549316,,,330.59,0.04,,20,-130.276,284.623,0.6,0,0,,,230.081
,54832,49.054,8.30233,-128.848,0.6,,0,,359.989,334.698,,,0.03,0,,,54.7394,234.56,-0.00549316,,,331.738,0.04,,20,-128.952,285.787,0.6,0,0,,,231.152
,54833,49.054,8.30233,-131.1,0.5,,0,,359.989,336.313,,,0.03,0,,,53.9758,234.56,-0.00549316,,,333.034,0.04,,20,-130.963,283.013,0.5,0,0,,,228.9
,54834,49.054,8.30233,-133.412,0.5,,0,,359.989,336.313,,,0.03,0,,,54.1406,234.56,-0.00549316,,,333.034,0.04,,20,-133.401,280.739,0.5,0,0,,,226.588
,54835,49.054,8.30233,-136.835,0.5,,0,,359.989,338.192,,,0.03,0,,,53.9813,234.56,-0.00549316,,,334.479,0.04,,20,-136.599,277.383,0.5,0,0,,,223.165
,54836,49.054,8.30233,-159.851,0.6,,0,,359.989,338.192,,,0.03,0,,,53.6902,234.56,-0.00549316,,,334.479,0.04,,20,-159.785,253.905,0.6,0,0,,,200.149
,54837,49.054,8.30233,-160.038,0.5,,0,,359.989,340.444,,,0.03,0,,,53.8715,234.56,-0.00549316,,,336.116,0.07,,20,-159.055,254.817,0.5,0,0,,,199.962
,54838,49.054,8.30233,-159.67,0.5,,0,,359.989,340.444,,,0.03,0,,,53.0804,234.56,-0.00549316,,,336.116,0.07,,20,-159.055,254.026,0.5,0,0,,,200.33
,54839,49.054,8.30233,-159.67,0.5,,0,,359.989,342.68,,,0.05,0,,,52.8552,234.56,-0.00549316,,,337.863,0.06,,20,-159.055,253.801,0.5,0,0,,,200.33
