DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,27371,49.054,8.30243,-95.5756,0.3,,0,,359.989,265.759,,,0.02,0,,,60.8258,235.8,-0.00549316,,,267.495,0.02,,19,-95.7019,325.124,0.3,0,0,,,264.424
,27371,49.054,8.30243,-95.5756,0.3,,0,,359.989,265.759,,,0.02,0,,,60.8752,235.8,-0.00549316,,,267.495,0.02,,19,-95.7019,325.173,0.3,0,0,,,264.424
,27371,49.054,8.30243,-95.5756,0.3,,0,,359.989,265.759,,,0.02,0,,,60.8752,235.8,-0.00549316,,,267.495,0.02,,19,-95.7019,325.173,0.3,0,0,,,264.424
,27372,49.054,8.30243,-96.4325,0.3,,0,,359.989,264.897,,,0.02,0,,,60.5347,235.8,-0.00549316,,,266.797,0.04,,19,-97.5861,322.949,0.3,0,0,,,263.568
,27373,49.054,8.30243,-96.4325,0.3,,0,,359.989,264.897,,,0.02,0,,,60.3589,235.8,-0.00549316,,,266.797,0.04,,19,-97.5861,322.773,0.3,0,0,,,263.568
,27374,49.054,8.30243,-97.6025,0.3,,0,,359.989,264.897,,,0.02,0,,,60.5457,235.8,-0.00549316,,,266.797,0.04,,19,-97.5861,322.96,0.3,0,0,,,262.397
,27375,49.054,8.30243,-96.6907,0.5,,0,,359.989,264.056,,,0.03,0,,,60.8203,235.8,-0.00549316,,,266.028,0.02,,19,-96.839,323.981,0.5,0,0,,,263.309
,27376,49.054,8.30243,-96.6907,0.5,,0,,359.989,264.056,,,0.03,0,,,60.6555,235.8,-0.00549316,,,266.028,0.02,,19,-95.7019,324.954,0.5,0,0,,,263.309
,27377,49.054,8.30243,-94.7021,0.5,,0,,359.989,263.216,,,0.03,0,,,60.7269,235.8,-0.00549316,,,265.237,0.01,,19,-95.7019,325.025,0.5,0,0,,,265.298
,27378,49.054,8.30243,-94.8065,0.5,,0,,359.989,263.216,,,0.03,0,,,60.9137,235.8,-0.00549316,,,265.237,0.01,,19,-96.839,324.075,0.5,0,0,,,265.193
,27379,49.054,8.30243,-95.7953,0.5,,0,,359.989,262.551,,,0.02,0,,,60.661,235.8,-0.00549316,,,264.424,0.01,,19,-96.839,323.822,0.5,0,0,,,264.205
,27380,49.054,8.30243,-94.812,0.5,,0,,359.989,262.551,,,0.02,0,,,60.6995,235.8,-0.00549316,,,264.424,0.01,,19,-95.7019,324.998,0.5,0,0,,,265.188
,27381,49.054,8.30243,-95.9052,0.5,,0,,359.989,262.04,,,0.01,0,,,60.5841,235.8,-0.00549316,,,263.672,0,,19,-96.839,323.745,0.5,0,0,,,264.095
,27382,49.054,8.30243,-96.048,0.5,,0,,359.989,262.04,,,0.01,0,,,60.8038,235.8,-0.00549316,,,263.672,0,,19,-96.839,323.965,0.5,0,0,,,263.952
,27383,49.054,8.30243,-98.5913,0.6,,0,,359.989,261.568,,,0.01,0,,,61.2653,235.8,-0.00549316,,,263.035,0.03,,19,-98.5199,322.745,0.6,0,0,,,261.409
,27384,49.054,8.30243,-104.019,0.6,,0,,359.989,261.568,,,0.01,0,,,61.6113,235.8,-0.00549316,,,263.035,0.03,,19,-104.255,317.357,0.6,0,0,,,255.981
,27385,49.054,8.30243,-106.221,0.6,,0,,359.989,260.942,,,0.02,0,,,61.2598,235.8,-0.00549316,,,262.463,0.06,,19,-106.32,314.94,0.6,0,0,,,253.779
,27386,49.054,8.30243,-107.111,0.6,,0,,359.989,260.942,,,0.02,0,,,61.2762,235.8,-0.00549316,,,262.463,0.06,,19,-107.238,314.039,0.6,0,0,,,252.889
,27387,49.054,8.30243,-106.562,0.5,,0,,359.989,260.123,,,0.03,0,,,61.3257,235.8,-0.00549316,,,261.876,0.08,,19,-107.353,313.973,0.5,0,0,,,253.438
,27388,49.054,8.30243,-107.205,0.5,,0,,359.989,260.123,,,0.03,0,,,61.1774,235.8,-0.00549316,,,261.876,0.08,,19,-107.353,313.824,0.5,0,0,,,252.795
,27389,49.054,8.30243,-107.292,0.5,,0,,359.989,259.563,,,0.04,0,,,61.2598,235.8,-0.00549316,,,261.205,0.09,,19,-107.353,313.907,0.5,0,0,,,252.708
,27390,49.054,8.30243,-102.788,0.6,,0,,359.989,259.563,,,0.07,0,,,61.0895,235.8,-0.00549316,,,260.59,0.09,,19,-104.37,316.719,0.8,0,0,,,257.212
,27391,49.054,8.30243,-104.216,0.8,,0,,359.989,259.063,,,0.07,0,,,61.2048,235.8,-0.00549316,,,260.59,0.05,,19,-104.442,316.763,1,0,0,,,255.784
,27392,49.054,8.30243,-106.556,1.1,,0,,359.989,259.063,,,0.06,0,,,61.3971,235.8,-0.00549316,,,260.013,0.05,,19,-106.787,314.61,1.1,0,0,,,253.444
,27393,49.054,8.30243,-107.748,1.1,,0,,359.989,258.755,,,0.06,0,,,61.062,235.8,-0.00549316,,,260.013,0.03,,19,-110.731,310.331,1.1,0,0,,,252.252
,27394,49.054,8.30243,-110.759,1.1,,0,,359.989,258.755,,,0.05,0,,,61.2488,235.8,-0.00549316,,,259.536,0.03,,19,-110.731,310.518,1.1,0,0,,,249.241
,27395,49.054,8.30243,-111.072,1.1,,0,,359.989,258.552,,,0.05,0,,,61.2708,235.8,-0.00549316,,,259.536,0.01,,19,-111.055,310.215,1.3,0,0,,,248.928
,27396,49.054,8.30243,-110.764,1.3,,0,,359.989,258.552,,,0.04,0,,,61.062,235.8,-0.00549316,,,259.156,0.01,,19,-111.055,310.007,1.3,0,0,,,249.236
