DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,74714,49.054,8.30243,,,,0,,359.989,209.734,,,0.03,0,,,60.4303,239.53,-0.00549316,,,210.476,0.04,,16,,,,0,,,,
,74714,49.054,8.30243,,,,0,,359.989,209.734,,,0.03,0,,,60.4852,239.53,-0.00549316,,,210.476,0.04,,16,,,,0,,,,
,74715,49.054,8.30243,,,,0,,359.989,211.119,,,0.03,0,,,60.7983,239.53,-0.00549316,,,210.476,0.06,,16,,,,0,,,,
,74716,49.054,8.30243,,,,0,,359.989,211.119,,,0.03,0,,,61.2103,239.53,-0.00549316,,,210.564,0.06,,16,,,,0,,,,
,74717,49.054,8.30243,,,,0,,359.989,213.547,,,0.03,0,,,61.1444,239.53,-0.00549316,,,210.564,0.08,,16,,,,0,,,,
,74718,49.054,8.30243,,,,0,,359.989,213.547,,,0.04,0,,,60.8368,239.53,-0.00549316,,,211.459,0.08,,16,,,,0,,,,
,74719,49.054,8.30243,,,,0,,359.989,216.705,,,0.04,0,,,60.1447,239.53,-0.00549316,,,211.459,0.06,,16,,,,0,,,,
,74720,49.054,8.30243,,,,0,,359.989,216.705,,,0.06,0,,,60.0238,239.53,-0.00549316,,,213.019,0.06,,16,,,,0,,,,
,74721,49.054,8.30243,,,,0,,359.989,218.199,,,0.06,0,,,59.6283,239.53,-0.00549316,,,213.019,0.06,,16,,,,0,,,,
,74722,49.054,8.30243,,,,0,,359.989,218.199,,,0.05,0,,,60.0513,239.53,-0.00549316,,,214.849,0.06,,16,,,,0,,,,
,74724,49.054,8.30243,,,,0,,359.989,216.771,,,0.05,0,,,60.0348,239.53,-0.00549316,,,216.167,0.09,,16,,,,0,,,,
,74724,49.054,8.30243,,,,0,,359.989,216.771,,,0.05,0,,,59.9414,239.53,-0.00549316,,,216.167,0.09,,16,,,,0,,,,
,74725,49.054,8.30243,,,,0,,359.989,216.771,,,0.05,0,,,60.1227,239.53,-0.00549316,,,216.167,0.09,,16,,,,0,,,,
,74726,49.054,8.30243,,,,0,,359.989,216.771,,,0.07,0,,,59.8865,239.53,-0.00549316,,,216.639,0.09,,16,,,,0,,,,
,74728,49.054,8.30243,,,,0,,359.989,213.662,,,0.08,0,,,60.3259,239.53,-0.00549316,,,216.277,0.05,,16,,,,0,,,,
,74728,49.054,8.30243,,,,0,,359.989,213.662,,,0.08,0,,,60.3424,239.53,-0.00549316,,,216.277,0.05,,16,,,,0,,,,
,74729,49.054,8.30243,,,,0,,359.989,213.662,,,0.08,0,,,60.0293,239.53,-0.00549316,,,216.277,0.05,,16,,,,0,,,,
,74730,49.054,8.30243,,,,0,,359.989,213.662,,,0.08,0,,,60.1941,239.53,-0.00549316,,,215.513,0.05,,17,,,,0,,,,
,74731,49.054,8.30243,,,,0,,359.989,213.525,,,0.08,0,,,60.0677,239.53,-0.00549316,,,215.513,0.03,,16,,,,0,,,,
,74732,49.054,8.30243,,,,0,,359.989,213.525,,,0.06,0,,,59.8425,239.53,-0.00549316,,,214.739,0.03,,17,,,,0,,,,
,74733,49.054,8.30243,,,,0,,359.989,213.821,,,0.06,0,,,60.2161,239.53,-0.00549316,,,214.739,0.02,,17,,,,0,,,,
,74734,49.054,8.30243,,,,0,,359.989,213.821,,,0.05,0,,,59.9524,239.53,-0.00549316,,,214.305,0.02,,17,,,,0,,,,
,74735,49.054,8.30243,,,,0,,359.989,214.244,,,0.05,0,,,60.0952,239.53,-0.00549316,,,214.305,0.01,,17,,,,0,,,,
,74736,49.054,8.30243,,,,0,,359.989,214.244,,,0.02,0,,,60.304,239.53,-0.00549316,,,214.189,0.01,,17,,,,0,,,,
,74737,49.054,8.30243,,,,0,,359.989,214.453,,,0.02,0,,,59.9084,239.53,-0.00549316,,,214.25,0.01,,17,,,,0,,,,
,74738,49.054,8.30243,,,,0,,359.989,214.453,,,0.02,0,,,60.0018,239.53,-0.00549316,,,214.25,0.01,,17,,,,0,,,,
,74739,49.054,8.30243,,,,0,,359.989,213.821,,,0.01,0,,,59.7546,239.53,-0.00549316,,,214.255,0.03,,17,,,,0,,,,
,74740,49.054,8.30243,,,,0,,359.989,213.821,,,0.01,0,,,59.6228,239.53,-0.00549316,,,214.255,0.03,,17,,,,0,,,,
,74741,49.054,8.30243,,,,0,,359.989,212.827,,,0.03,0,,,59.9799,239.53,-0.00549316,,,213.964,0.03,,17,,,,0,,,,
,74742,49.054,8.30243,,,,0,,359.989,212.827,,,0.03,0,,,59.6228,239.53,-0.00549316,,,213.964,0.03,,17,,,,0,,,,
,74743,49.054,8.30243,,,,0,,359.989,212.179,,,0.01,0,,,59.881,239.53,-0.00549316,,,213.426,0.02,,17,,,,0,,,,
,74744,49.054,8.30243,,,,0,,359.989,212.179,,,0.01,0,,,60.2655,239.53,-0.00549316,,,213.426,0.02,,17,,,,0,,,,
,74745,49.054,8.30243,,,,0,,359.989,213.365,,,0.03,0,,,60.0018,239.53,-0.00549316,,,213.069,0.05,,17,,,,0,,,,
,74746,49.054,8.30243,,,,0,,359.989,213.365,,,0.03,0,,,59.826,239.53,-0.00549316,,,213.069,0.05,,17,,,,0,,,,
,74747,49.054,8.30243,,,,0,,359.989,215.316,,,0.03,0,,,60.2325,239.53,-0.00549316,,,213.426,0.05,,17,,,,0,,,,
,74748,49.054,8.30243,,,,0,,359.989,215.316,,,0.03,0,,,59.7931,239.53,-0.00549316,,,213.426,0.05,,17,,,,0,,,,
,74749,49.054,8.30243,,,,0,,359.989,217.002,,,0.04,0,,,59.7437,239.53,-0.00549316,,,214.294,0.03,,17,,,,0,,,,
,74750,49.054,8.30243,,,,0,,359.989,217.002,,,0.04,0,,,60.0842,239.53,-0.00549316,,,214.294,0.03,,17,,,,0,,,,
,74751,49.054,8.30243,,,,0,,359.989,217.776,,,0.03,0,,,59.7437,239.53,-0.00549316,,,215.436,0.01,,17,,,,0,,,,
,74753,49.054,8.30243,,,,0,,359.989,217.776,,,0.03,0,,,59.903,239.53,-0.00549316,,,215.436,0.01,,17,,,,0,,,,
,74754,49.054,8.30243,,,,0,,359.989,217.903,,,0.01,0,,,60.2655,239.53,-0.00549316,,,216.392,0.01,,17,,,,0,,,,
,74755,49.054,8.30243,,,,0,,359.989,217.903,,,0.01,0,,,59.469,239.53,-0.00549316,,,216.392,0.01,,17,,,,0,,,,
,74756,49.054,8.30243,,,,0,,359.989,218.057,,,0.01,0,,,59.3427,239.53,-0.00549316,,,217.013,0,,17,,,,0,,,,
,74757,49.054,8.30243,,,,0,,359.989,218.057,,,0.01,0,,,59.8975,239.53,-0.00549316,,,217.013,0,,17,,,,0,,,,
,74758,49.054,8.30243,,,,0,,359.989,219.199,,,0.01,0,,,60.1227,239.53,-0.00549316,,,217.507,0.05,,17,,,,0,,,,
,74759,49.054,8.30243,,,,0,,359.989,219.199,,,0.01,0,,,60.5127,239.53,-0.00549316,,,217.507,0.05,,17,,,,0,,,,
,74760,49.054,8.30243,,,,0,,359.989,221.594,,,0.03,0,,,60.8917,239.53,-0.00549316,,,218.342,0.07,,17,,,,0,,,,
,74761,49.054,8.30243,,,,0,,359.989,221.594,,,0.03,0,,,60.5786,239.53,-0.00549316,,,218.342,0.07,,17,,,,0,,,,
,74762,49.054,8.30243,,,,0,,359.989,225.082,,,0.04,0,,,60.5457,239.53,-0.00549316,,,219.655,0.06,,17,,,,0,,,,
,74763,49.054,8.30243,,,,0,,359.989,225.082,,,0.04,0,,,60.9796,239.53,-0.00549316,,,219.655,0.06,,17,,,,0,,,,
,74764,49.054,8.30243,,,,0,,359.989,226.961,,,0.05,0,,,60.6171,239.53,-0.00549316,,,221.847,0.03,,17,,,,0,,,,
,74765,49.054,8.30243,,,,0,,359.989,226.961,,,0.05,0,,,60.4083,239.53,-0.00549316,,,221.847,0.03,,17,,,,0,,,,
,74766,49.054,8.30243,,,,0,,359.989,227.087,,,0.03,0,,,60.7764,239.53,-0.00549316,,,223.912,0.06,,17,,,,0,,,,
,74767,49.054,8.30243,,,,0,,359.989,227.087,,,0.03,0,,,60.4578,239.53,-0.00549316,,,223.912,0.06,,17,,,,0,,,,
,74768,49.054,8.30243,,,,0,,359.989,225.923,,,0.05,0,,,60.3644,239.53,-0.00549316,,,225.192,0.08,,17,,,,0,,,,
,74769,49.054,8.30243,,,,0,,359.989,225.923,,,0.05,0,,,60.8423,239.53,-0.00549316,,,225.192,0.08,,17,,,,0,,,,
,74770,49.054,8.30243,,,,0,,359.989,224.297,,,0.06,0,,,60.6995,239.53,-0.00549316,,,225.489,0.06,,17,,,,0,,,,
,74771,49.054,8.30243,,,,0,,359.989,224.297,,,0.06,0,,,60.5237,239.53,-0.00549316,,,225.489,0.06,,17,,,,0,,,,
,74772,49.054,8.30243,,,,0,,359.989,223.841,,,0.05,0,,,60.8917,239.53,-0.00549316,,,225.011,0.04,,17,,,,0,,,,
,74773,49.054,8.30243,,,,0,,359.989,223.841,,,0.05,0,,,60.9631,239.53,-0.00549316,,,225.011,0.04,,17,,,,0,,,,
,74774,49.054,8.30243,,,,0,,359.989,224.341,,,0.05,0,,,60.6226,239.53,-0.00549316,,,224.561,0.04,,17,,,,0,,,,
,74775,49.054,8.30243,,,,0,,359.989,224.341,,,0.05,0,,,60.9412,239.53,-0.00549316,,,224.561,0.04,,17,,,,0,,,,
,74776,49.054,8.30243,,,,0,,359.989,225.72,,,0.05,0,,,60.5676,239.53,-0.00549316,,,224.451,0.04,,17,,,,0,,,,
,74777,49.054,8.30243,,,,0,,359.989,225.72,,,0.05,0,,,60.1117,239.53,-0.00549316,,,224.451,0.04,,17,,,,0,,,,
,74778,49.054,8.30243,,,,0,,359.989,226.143,,,0.04,0,,,60.3369,239.53,-0.00549316,,,224.907,0.03,,17,,,,0,,,,
,74779,49.054,8.30243,,,,0,,359.989,226.143,,,0.04,0,,,60.2216,239.53,-0.00549316,,,224.907,0.03,,17,,,,0,,,,
,74780,49.054,8.30243,,,,0,,359.989,226.016,,,0.04,0,,,59.0295,239.53,-0.00549316,,,225.396,0.01,,17,,,,0,,,,
,74781,49.054,8.30243,,,,0,,359.989,226.016,,,0.03,0,,,58.5956,239.53,-0.00549316,,,225.659,0.01,,17,,,,0,,,,
,74782,49.054,8.30243,,,,0,,359.989,226.236,,,0.03,0,,,57.9749,239.53,-0.00549316,,,225.659,0.01,,17,,,,0,,,,
,74783,49.054,8.30243,,,,0,,359.989,226.236,,,0.01,0,,,57.876,239.53,-0.00549316,,,225.873,0.01,,17,,,,0,,,,
,74784,49.054,8.30243,,,,0,,359.989,227.351,,,0.01,0,,,57.464,239.53,-0.00549316,,,225.873,0.05,,17,,,,0,,,,
,74785,49.054,8.30243,,,,0,,359.989,227.351,,,0.02,0,,,57.0355,239.53,-0.00549316,,,226.379,0.05,,17,,,,0,,,,
,74786,49.054,8.30242,,,,0,,359.989,230.35,,,0.02,0,,,56.9092,239.53,-0.00549316,,,226.379,0.14,,17,,,,0,,,,
