DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,29731,49.054,8.30238,-175.627,1.1,,0,,359.989,140.021,,,0.02,0,,,62.0068,240.42,-0.00549316,,,170.777,0,,20,-175.331,246.676,1.1,0,0,,,184.373
,29732,49.054,8.30238,-177.902,1,,0,,359.989,173.199,,,0.02,0,,,62.0453,240.42,-0.00549316,,,171.508,0,,20,-177.715,244.33,1,0,0,,,182.098
,29732,49.054,8.30238,-177.902,1,,0,,359.989,173.199,,,0.02,0,,,61.886,240.42,-0.00549316,,,171.508,0,,20,-177.715,244.171,1,0,0,,,182.098
,29733,49.054,8.30238,168.168,1.1,,0,,359.989,174.012,,,0.02,0,,,61.9629,240.42,-0.00549316,,,171.508,0,,20,168.497,230.46,1.1,0,0,,,168.168
,29734,49.054,8.30238,167.772,1.1,,0,,359.989,174.012,,,0.01,0,,,62.1277,240.42,-0.00549316,,,172.238,0,,20,167.992,230.12,1.1,0,0,,,167.772
,29735,49.054,8.30238,167.992,1.1,,0,,359.989,174.924,,,0.01,0,,,62.0892,240.42,-0.00549316,,,172.238,0,,20,168.497,230.587,1.1,0,0,,,167.992
,29736,49.054,8.30238,167.481,1.1,,0,,359.989,174.924,,,0.01,0,,,62.0288,240.42,-0.00549316,,,173.007,0,,20,167.992,230.021,1.1,0,0,,,167.481
,29737,49.054,8.30238,165.487,1.1,,0,,359.989,175.133,,,0.01,0,,,62.2595,240.42,-0.00549316,,,173.007,0,,20,165.844,228.104,1.1,0,0,,,165.487
,29738,49.054,8.30238,165.256,1.1,,0,,359.989,175.133,,,0,0,,,62.2925,240.42,-0.00549316,,,89.9945,0,,20,165.844,228.137,1.1,0,0,,,165.256
,29739,49.054,8.30238,172.678,1,,0,,359.989,175.051,,,0,0,,,62.4188,240.42,-0.00549316,,,89.9945,0,,20,173.161,235.58,1,0,0,,,172.678
,29740,49.054,8.30238,-176.155,1,,0,,359.989,175.051,,,0,0,,,62.3969,240.42,-0.00549316,,,89.9945,0,,20,-176.001,246.396,1,0,0,,,183.845
,29741,49.054,8.30238,-172.941,1.1,,0,,359.989,174.342,,,0,0,,,62.4792,240.42,-0.00549316,,,89.9945,0,,20,-172.755,249.725,1.1,0,0,,,187.059
,29742,49.054,8.30238,-176.732,1.1,,0,,359.989,174.342,,,0,0,,,62.3694,240.42,-0.00549316,,,89.9945,0,,20,-176.364,246.006,1.1,0,0,,,183.268
,29743,49.054,8.30238,165.092,1.1,,0,,359.989,173.216,,,0,0,,,62.3859,240.42,-0.00549316,,,89.9945,0,,20,165.35,227.736,1.1,0,0,,,165.092
,29744,49.054,8.30238,168.393,1.1,,0,,359.989,173.216,,,0,0,,,62.5232,240.42,-0.00549316,,,89.9945,0,,20,168.497,231.021,1.1,0,0,,,168.393
,29745,49.054,8.30238,-167.624,1.1,,0,,359.989,171.738,,,0,0,,,62.5232,240.42,-0.00549316,,,89.9945,0,,20,-167.487,255.037,1.1,0,0,,,192.376
,29746,49.054,8.30238,-167.52,1.1,,0,,359.989,171.738,,,0,0,,,62.4957,240.42,-0.00549316,,,89.9945,0,,20,-167.487,255.009,1.1,0,0,,,192.48
,29748,49.054,8.30238,-158.835,1.1,,0,,359.989,170.052,,,0,0,,,62.4792,240.42,-0.00549316,,,89.9945,0,,20,-158.791,263.688,1.1,0,0,,,201.165
,29749,49.054,8.30238,-155.341,1.1,,0,,359.989,170.052,,,0,0,,,62.644,240.42,-0.00549316,,,89.9945,0,,20,-155.314,267.33,1.1,0,0,,,204.659
,29750,49.054,8.30238,-165.998,1.1,,0,,359.989,168.069,,,0,0,,,62.644,240.42,-0.00549316,,,89.9945,0,,20,-165.844,256.8,1.1,0,0,,,194.002
,29751,49.054,8.30238,-165.009,1.1,,0,,359.989,168.069,,,0,0,,,62.6331,240.42,-0.00549316,,,89.9945,0,,20,-164.85,257.783,1.1,0,0,,,194.991
,29752,49.054,8.30238,-155.446,1.3,,0,,359.989,166.899,,,0,0,,,62.6605,240.42,-0.00549316,,,89.9945,0,,20,-155.605,267.056,1.3,0,0,,,204.554
,29753,49.054,8.30238,-157.709,1.3,,0,,359.989,166.899,,,0,0,,,62.7264,240.42,-0.00549316,,,89.9945,0,,20,-157.566,265.161,1.3,0,0,,,202.291
,29754,49.054,8.30238,-162.784,1.1,,0,,359.989,166.882,,,0,0,,,62.8308,240.42,-0.00549316,,,89.9945,0,,20,-162.713,260.118,1.11,0,0,,,197.216
