DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,45658,49.2324,8.38067,-109.644,1.8,,0.43,,32.3328,342.208,,,0.42,0,,,36.0132,244.02,-0.00549316,,,290.281,0.64,,15,-116.285,279.728,1.89,0,-0.2,,,252.554
,45658,49.2324,8.38067,-107.446,1.8,,0.43,,32.3328,342.208,,,0.42,0,,,35.7715,244.02,-0.00549316,,,290.281,0.64,,15,-116.285,279.487,1.89,0,-0.2,,,252.554
,45659,49.2324,8.38067,-105.403,1.7,,0.41,,32.8601,346.487,,,0.46,0,,,36.3153,244.02,-0.00549316,,,292.061,0.65,,15,-112.505,283.81,1.77,0,-0.17,,,254.669
,45659,49.2324,8.38067,-105.331,1.5,,0.41,,32.8601,346.487,,,0.46,0,,,36.8591,244.02,-0.00549316,,,292.061,0.65,,15,-112.802,284.057,1.57,0,-0.17,,,254.669
,45660,49.2324,8.38067,-113.346,1.5,,0.41,,33.3105,346.487,,,0.47,0,,,38.3862,244.02,-0.00549316,,,297.103,0.65,,15,-120.388,277.998,1.6,0,-0.21,,,246.654
,45661,49.2324,8.38068,-148.733,1.3,,0.42,,33.8159,350.87,,,0.47,0,,,39.4519,244.02,-0.00549316,,,297.103,0.63,,15,-152.935,246.517,1.49,0,-0.33,,,211.267
,45662,49.2324,8.38068,-146.926,1.1,,0.46,,34.3213,350.87,,,0.47,0,,,40.0232,244.02,-0.00549316,,,300.564,0.63,,15,-152.666,247.357,1.3,0,-0.41,,,213.074
,45663,49.2324,8.38068,-138.29,1,,0.39,,34.8706,355.485,,,0.47,0,,,40.4462,244.02,-0.00549316,,,300.564,0.62,,15,-144.822,255.624,1.16,0,-0.41,,,200.61
,45664,49.2324,8.38068,175.441,1.7,,0.39,,35.332,355.485,,,0.46,0,,,41.1658,244.02,-0.00549316,,,305.706,0.62,,15,176.089,217.255,1.9,0,-0.37,,,193.09
,45665,49.2324,8.3807,-142.344,1.7,,0.41,,35.7166,0.0164795,,,0.46,0,,,42.1655,244.02,-0.00549316,,,305.706,0.61,,15,-146.332,255.833,1.87,0,-0.35,,,217.656
,45666,49.2324,8.3807,-167.377,1.7,,0.46,,36.145,0.0164795,,,0.44,0,,,43.6926,244.02,-0.00549316,,,308.705,0.61,,15,-168.701,234.992,1.93,0,-0.46,,,178.781
,45667,49.2324,8.3807,-164.438,1.5,,0.46,,36.6394,4.43298,,,0.44,0,,,44.4012,244.02,-0.00549316,,,308.705,0.6,,15,-166.371,238.03,1.73,0,-0.46,,,195.562
,45668,49.2324,8.3807,-165.146,1.3,,0.47,,37.1667,4.43298,,,0.42,0,,,44.8792,244.02,-0.00549316,,,311.759,0.6,,15,-167.245,237.634,1.53,0,-0.45,,,204.247
,45669,49.2324,8.38072,-129.117,1.3,,0.46,,37.6501,8.87695,,,0.42,0,,,45.8185,244.02,-0.00549316,,,311.759,0.65,,15,-136.395,269.423,1.46,0,-0.45,,,230.883
,45670,49.2324,8.38072,-126.76,1.5,,0.46,,38.1116,8.87695,,,0.41,0,,,46.983,244.02,-0.00549316,,,314.456,0.65,,15,-133.286,273.697,1.66,0,-0.32,,,233.24
,45671,49.2325,8.38072,-119.454,1.5,,0.46,,38.595,13.6011,,,0.41,0,,,48.0103,244.02,-0.00549316,,,314.456,0.67,,15,-126.793,281.217,1.63,0,-0.33,,,251.889
,45672,49.2325,8.38072,-108.984,1.1,,0.47,,39.0564,13.6011,,,0.4,0,,,49.0649,244.02,-0.00549316,,,321.114,0.67,,15,-119.965,289.1,1.2,0,-0.22,,,251.016
,45673,49.2325,8.38072,-110.989,1.1,,0.47,,39.5618,18.2208,,,0.4,0,,,49.4604,244.02,-0.00549316,,,321.114,0.68,,15,-121.844,287.617,1.21,0,-0.25,,,247.874
,45674,49.2325,8.38072,-108.875,0.8,,0.46,,40.0342,18.2208,,,0.39,0,,,50.3723,244.02,-0.00549316,,,325.415,0.68,,15,-123.316,287.056,0.9,0,-0.26,,,251.125
,45675,49.2325,8.38073,-102.096,0.8,,0.49,,40.4956,22.2638,,,0.39,0,,,51.4984,244.02,-0.00549316,,,325.415,0.69,,15,-117.977,293.522,0.89,0,-0.23,,,257.904
,45676,49.2325,8.38073,-98.3112,1,,0.5,,40.99,22.2638,,,0.38,0,,,52.4542,244.02,-0.00549316,,,330.886,0.69,,15,-112.478,299.976,1.07,0,-0.23,,,261.689
,45677,49.2325,8.38073,-112.676,1.3,,0.5,,41.4844,25.675,,,0.38,0,,,54.0363,244.02,-0.00549316,,,330.886,0.69,,15,-122.333,291.703,1.42,0,-0.27,,,247.324
,45678,49.2325,8.38073,-82.7051,1.3,,0.51,,41.9897,25.675,,,0.37,0,,,55.3107,244.02,-0.00549316,,,335.154,0.69,,15,-94.4275,320.883,1.29,0,-0.04,,,277.295
,45679,49.2325,8.38075,-99.2285,1.5,,0.53,,42.5281,28.6469,,,0.37,0,,,56.5411,244.02,-0.00549316,,,335.154,0.7,,15,-109.341,307.2,1.56,0,-0.07,,,260.771
,45680,49.2325,8.38075,-103.442,1.3,,0.54,,43.0884,28.6469,,,0.35,0,,,57.6343,244.02,-0.00549316,,,336.308,0.7,,15,-114.527,303.107,1.39,0,-0.22,,,256.558
,45681,49.2325,8.38075,-132.957,1,,0.54,,43.6707,30.8167,,,0.35,0,,,58.6835,244.02,-0.00549316,,,336.308,0.7,,15,-142.394,276.29,1.21,0,-0.37,,,227.043
,45682,49.2325,8.38075,-147.53,0.8,,0.55,,44.2529,30.8167,,,0.35,0,,,59.3866,244.02,-0.00549316,,,339.472,0.7,,15,-155.885,263.502,1.05,0,-0.5,,,212.47
,45683,49.2325,8.38077,-167.058,0.8,,0.57,,44.8242,32.4591,,,0.35,0,,,59.87,244.02,-0.00549316,,,339.472,0.67,,15,-170.464,249.406,1.08,0,-0.55,,,192.942
,45684,49.2325,8.38077,174.589,0.8,,0.54,,45.3955,32.4591,,,0.34,0,,,60.5072,244.02,-0.00549316,,,339.208,0.67,,15,176.298,236.805,1.08,0,-0.57,,,174.589
,45685,49.2325,8.38078,-174.897,0.8,,0.51,,45.9338,32.8217,,,0.34,0,,,60.3259,244.02,-0.00549316,,,339.208,0.64,,15,-175.688,244.638,1.06,0,-0.54,,,185.103
,45686,49.2325,8.38078,-159.285,0.6,,0.47,,46.4172,32.8217,,,0.33,0,,,60.3644,244.02,-0.00549316,,,340.021,0.64,,15,-164.822,255.542,0.83,0,-0.51,,,200.715
,45687,49.2325,8.38078,-112.05,0.5,,0.49,,46.8457,31.7999,,,0.33,0,,,60.1556,244.02,-0.00549316,,,340.021,0.62,,15,-133.11,287.045,0.64,0,-0.46,,,247.95
,45688,49.2325,8.38078,-112.05,0.5,,0.49,,47.2302,31.7999,,,0.32,0,,,59.5239,244.02,-0.00549316,,,341.933,0.62,,15,-133.11,286.414,0.64,0,-0.34,,,247.95
,45689,49.2325,8.38078,-115.554,0.8,,0.43,,47.5928,30.4376,,,0.32,0,,,59.1339,244.02,-0.00549316,,,341.933,0.61,,15,-127.963,291.171,0.92,0,-0.23,,,244.446
,45690,49.2325,8.38078,-120.108,1,,0.47,,47.8784,30.4376,,,0.31,0,,,58.5132,244.02,-0.00549316,,,342.905,0.61,,15,-130.754,287.759,1.14,0,-0.31,,,239.892
,45691,49.2325,8.3808,-123.014,1.7,,0.49,,48.1641,29.339,,,0.31,0,,,58.0408,244.02,-0.00549316,,,342.905,0.65,,15,-129.518,288.523,1.85,0,-0.39,,,236.986
,45692,49.2325,8.3808,-139.125,1.8,,0.51,,48.4387,29.339,,,0.31,0,,,57.5134,244.02,-0.00549316,,,342.449,0.65,,15,-118.685,298.828,1.91,0,-0.33,,,220.875
,45693,49.2325,8.3808,-145.887,1.8,,0.51,,48.6914,28.8007,,,0.31,0,,,56.9641,244.02,-0.00549316,,,342.449,0.65,,15,-150.167,266.797,2.02,0,-0.45,,,214.113
,45694,49.2325,8.3808,-156.616,2.5,,0.53,,48.9221,28.8007,,,0.31,0,,,56.3434,244.02,-0.00549316,,,340.071,0.65,,15,-158.752,257.591,2.75,0,-0.49,,,216.87
,45695,49.2326,8.3808,-157.665,2.7,,0.58,,49.1199,29.4489,,,0.31,0,,,55.5579,244.02,-0.00549316,,,340.071,0.67,,15,-159.813,255.745,2.98,0,-0.45,,,202.335
,45696,49.2326,8.3808,147.233,2.2,,0.59,,49.3066,29.4489,,,0.31,0,,,55.058,244.02,-0.00549316,,,339.423,0.67,,15,151.37,206.428,2.46,0,-0.5,,,147.233
,45697,49.2326,8.38082,168.618,1.7,,0.62,,49.4714,30.8057,,,0.31,0,,,54.9152,244.02,-0.00549316,,,339.423,0.69,,15,170.596,225.511,2.01,0,-0.53,,,168.618
,45698,49.2326,8.38082,-156.66,2,,0.63,,49.6252,30.8057,,,0.3,0,,,54.6185,244.02,-0.00549316,,,333.968,0.69,,15,-159.686,254.932,2.3,0,-0.62,,,203.34
