DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,27412,49.2323,8.38077,-18.5284,0.5,,0,,359.989,200.956,,,0,0,,,343.35,250.24,-0.00549316,,,89.9945,0.02,,14,-18.7811,324.569,0.49,0,0,,,341.472
,27413,49.2323,8.38077,-22.4561,0.5,,0,,359.989,200.956,,,0.02,0,,,343.987,250.24,-0.00549316,,,201.434,0.01,,14,-23.4943,320.493,0.5,0,0,,,337.544
,27413,49.2323,8.38077,-22.4561,0.5,,0,,359.989,200.852,,,0.02,0,,,343.905,250.24,-0.00549316,,,201.434,0.01,,14,-23.4943,320.411,0.5,0,0,,,337.544
,27414,49.2323,8.38077,-23.8458,0.5,,0,,359.989,200.852,,,0.01,0,,,344.02,250.24,-0.00549316,,,201.22,0.01,,14,-24.9994,319.021,0.49,0,0,,,336.154
,27415,49.2323,8.38077,-25.0653,0.5,,0,,359.989,200.808,,,0.01,0,,,343.894,250.24,-0.00549316,,,201.22,0,,14,-26.0376,317.856,0.5,0,0,,,334.935
,27416,49.2323,8.38077,-31.9867,0.5,,0,,359.989,200.808,,,0.01,0,,,344.268,250.24,-0.00549316,,,201.066,0,,14,-32.7173,311.55,0.49,0,0,,,328.013
,27417,49.2323,8.38077,-31.1133,0.5,,0,,359.989,200.654,,,0.01,0,,,344.328,250.24,-0.00549316,,,201.066,0,,14,-31.745,312.583,0.49,0,0,,,328.887
,27418,49.2323,8.38075,-31.1133,0.5,,0,,359.989,200.654,,,0.01,0,,,344.669,250.24,-0.00549316,,,200.929,0,,14,-31.745,312.924,0.49,0,0,,,328.887
,27419,49.2323,8.38075,-29.4653,0.5,,0,,359.989,200.77,,,0.01,0,,,344.691,250.24,-0.00549316,,,200.929,0,,14,-30.152,314.539,0.49,0,0,,,330.535
,27420,49.2323,8.38075,-24.4061,0.5,,0,,359.989,200.77,,,0,0,,,344.592,250.24,-0.00549316,,,89.9945,0,,14,-24.9994,319.592,0.49,0,0,,,335.594
