DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,45416,49.2324,8.38058,41.8579,1.1,,0,,359.989,162.839,,,0,0,,,337.478,253.49,-0.00549316,,,89.9945,0,,16,42.0117,19.4897,1.09,0,0,,,41.8579
,45416,49.2324,8.38058,41.8579,1.1,,0,,359.989,162.839,,,0,0,,,337.643,253.49,-0.00549316,,,89.9945,0,,16,42.0117,19.6545,1.09,0,0,,,41.8579
,45417,49.2324,8.38058,42.5061,1.3,,0,,359.989,162.839,,,0,0,,,337.643,253.49,-0.00549316,,,89.9945,0,,16,42.4677,20.1105,1.28,0,0,,,42.5061
,45418,49.2324,8.38058,49.1473,1.3,,0,,359.989,163.35,,,0,0,,,337.198,253.49,-0.00549316,,,89.9945,0,,16,49.411,26.6089,1.29,0,0,,,33.2336
,45419,49.2324,8.38058,47.3621,1.3,,0,,359.989,163.35,,,0,0,,,337.253,253.49,-0.00549316,,,89.9945,0,,16,47.5323,24.7852,1.28,0,0,,,47.3621
,45420,49.2324,8.3806,61.2488,1,,0,,359.989,163.922,,,0,0,,,337.72,253.49,-0.00549316,,,89.9945,0,,16,61.1279,38.8477,0.99,0,0,,,61.2488
,45421,49.2324,8.3806,43.7531,1.3,,0,,359.989,163.922,,,0,0,,,337.994,253.49,-0.00549316,,,89.9945,0,,16,43.7256,21.72,1.28,0,0,,,43.7531
,45422,49.2324,8.38062,68.4338,1.3,,0,,359.989,163.422,,,0,0,,,338.719,253.49,-0.00549316,,,89.9945,0,,16,68.6261,47.3456,1.28,0,0,,,68.4338
,45423,49.2324,8.38062,59.6228,1.3,,0,,359.989,163.422,,,0,0,,,339.439,253.49,-0.00549316,,,89.9945,0,,16,59.892,39.3311,1.29,0,0,,,59.6228
,45424,49.2324,8.38065,9.44275,1.1,,0,,359.989,163.674,,,0.01,0,,,342.307,253.49,-0.00549316,,,163.416,0.08,,16,9.44824,351.755,1.09,0,0,,,9.44275
,45425,49.2324,8.38065,27.7185,1.1,,0,,359.989,163.674,,,0.01,0,,,345.921,253.49,-0.00549316,,,163.416,0.08,,16,27.713,13.634,1.09,0,0,,,27.7185
,45426,49.2324,8.38065,15.0677,1,,0,,359.989,167.009,,,0.04,0,,,348.25,253.49,-0.00549316,,,163.515,0.34,,15,14.5844,2.83447,0.99,0,0,,,15.0677
,45427,49.2324,8.38065,-7.74536,0.8,,0,,359.989,167.009,,,0.04,0,,,350.019,253.49,-0.00549316,,,163.515,0.34,,15,-7.91565,342.103,0.79,0,0,,,352.255
,45428,49.2324,8.38065,-5.18005,0.8,,0,,359.989,173.167,,,0.15,0,,,352.051,253.49,-0.00549316,,,164.921,0.44,,16,-5.77332,346.278,0.79,0,0,,,354.82
,45429,49.2324,8.38065,-11.9037,0.6,,0,,359.989,173.167,,,0.15,0,,,353.842,253.49,-0.00549316,,,164.921,0.44,,15,-12.6178,341.224,0.59,0,0,,,348.096
,45430,49.2323,8.38065,-14.5624,0.5,,0,,359.989,182.06,,,0.27,0,,,353.892,253.49,-0.00549316,,,168.245,0.61,,16,-15.1392,338.752,0.49,0,0,,,345.438
,45431,49.2323,8.38065,-10.2557,0.6,,0,,359.989,182.06,,,0.27,0,,,354.957,253.49,-0.00549316,,,168.245,0.61,,16,-10.7336,344.224,0.59,0,0,,,349.744
,45432,49.2323,8.38065,27.1143,0.8,,0,,359.989,196.683,,,0.41,0,,,355.496,253.49,-0.00549316,,,173.815,0.69,,15,26.8781,22.3737,0.79,0,0,,,27.1143
,45433,49.2323,8.38065,22.3242,0.6,,0,,359.989,196.683,,,0.41,0,,,357.358,253.49,-0.00549316,,,173.815,0.69,,15,21.7804,19.1382,0.59,0,0,,,22.3242
,45434,49.2323,8.38065,22.3242,0.6,,0,,359.989,211.822,,,0.52,0,,,356.721,253.49,-0.00549316,,,183.043,0.76,,15,21.7804,18.501,0.59,0,0,,,37.6776
,45435,49.2323,8.38065,37.6776,0.3,,0,,359.989,211.822,,,0.52,0,,,357.127,253.49,-0.00549316,,,183.043,0.76,,15,38.0292,35.1563,0.29,0,0,,,37.6776
,45436,49.2323,8.38065,37.6776,0.3,,0,,359.989,223.649,,,0.62,0,,,358.797,253.49,-0.00549316,,,194.65,0.71,,16,38.0292,36.8262,0.29,0,0,,,43.9069
,45437,49.2323,8.38065,43.9069,0.1,,0,,359.989,223.649,,,0.62,0,,,358.281,253.49,-0.00549316,,,194.65,0.71,,16,40.589,38.8696,0.09,0,0,,,43.9069
,45438,49.2323,8.38065,28.6578,0.5,,0,,359.989,231.361,,,0.66,0,,,357.05,253.49,-0.00549316,,,206.351,0.62,,15,28.1195,25.1697,0.48,0,0,,,28.6578
,45439,49.2323,8.38065,63.3691,0.6,,0,,359.989,231.361,,,0.66,0,,,357.594,253.49,-0.00549316,,,206.351,0.62,,15,63.88,61.474,0.59,0,0,,,63.3691
,45440,49.2323,8.38065,66.4783,0.6,,0,,359.989,236.008,,,0.63,0,,,358.182,253.49,-0.00549316,,,216.129,0.52,,16,66.9397,65.1215,0.58,0,0,,,66.4783
,45441,49.2323,8.38065,56.3928,0.6,,0,,359.989,236.008,,,0.63,0,,,358.033,253.49,-0.00549316,,,216.129,0.52,,16,56.0577,54.0912,0.59,0,0,,,59.6228
