DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD
,28467,49.2324,8.38075,125.98,1.8,,0,,359.989,219.699,,,0.02,0,,,337.648,258.3,-0.00549316,,,219.897,0.01,,14,126.151,103.799,1.79,0,0,,,125.98
,28467,49.2324,8.38075,125.98,1.8,,0,,359.989,219.468,,,0.02,0,,,337.648,258.3,-0.00549316,,,219.897,0,,14,126.151,103.799,1.79,0,0,,,125.98
,28468,49.2324,8.38075,127.013,2,,0,,359.989,219.468,,,0.02,0,,,337.412,258.3,-0.00549316,,,219.82,0,,14,127.26,104.672,1.99,0,0,,,127.013
,28469,49.2324,8.38075,127.134,2,,0,,359.989,219.468,,,0.02,0,,,337.703,258.3,-0.00549316,,,219.82,0,,14,127.26,104.963,1.99,0,0,,,129.331
,28470,49.2324,8.38075,126.447,2,,0,,359.989,219.194,,,0,0,,,337.538,258.3,-0.00549316,,,219.677,0.03,,14,126.628,104.167,1.99,0,0,,,144.097
,28471,49.2324,8.38075,138.741,2,,0,,359.989,219.194,,,0,0,,,337.939,258.3,-0.00549316,,,219.677,0.03,,14,139.065,117.004,1.99,0,0,,,131.248
,28472,49.2324,8.38075,128.76,2,,0,,359.989,218.875,,,0.01,0,,,337.945,258.3,-0.00549316,,,219.496,0.02,,14,129.106,107.051,1.99,0,0,,,137.741
,28473,49.2324,8.38075,140.977,1.8,,0,,359.989,218.875,,,0.01,0,,,338.022,258.3,-0.00549316,,,219.496,0.02,,14,141.097,119.119,1.79,0,0,,,140.977
,28474,49.2324,8.38075,139.329,1.7,,0,,359.989,218.578,,,0.02,0,,,338.461,258.3,-0.00549316,,,219.26,0.01,,14,139.559,118.021,1.69,0,0,,,139.329
,28475,49.2324,8.38075,139.312,1.7,,0,,359.989,218.578,,,0.02,0,,,338.351,258.3,-0.00549316,,,219.26,0.01,,14,139.559,117.911,1.69,0,0,,,144.476
,28476,49.2324,8.38075,148.458,1.5,,0,,359.989,218.134,,,0.01,0,,,338.099,258.3,-0.00549316,,,219.001,0,,14,148.661,126.76,1.49,0,0,,,148.458
,28477,49.2324,8.38075,139.587,1.3,,0,,359.989,218.134,,,0.01,0,,,338.093,258.3,-0.00549316,,,219.001,0,,14,139.702,117.795,1.29,0,0,,,135.786
,28478,49.2324,8.38075,137.038,1.1,,0,,359.989,217.48,,,0,0,,,337.604,258.3,-0.00549316,,,218.672,0.03,,14,137.604,115.208,1.09,0,0,,,137.038
,28479,49.2324,8.38075,139.224,1.1,,0,,359.989,217.48,,,0,0,,,337.094,258.3,-0.00549316,,,218.672,0.03,,14,139.812,116.906,1.09,0,0,,,139.224
,28480,49.2324,8.38073,114.104,1,,0,,359.989,217.046,,,0.02,0,,,337.401,258.3,-0.00549316,,,218.243,0.02,,14,114.241,91.6425,0.99,0,0,,,114.104
,28481,49.2324,8.38073,104.233,0.8,,0,,359.989,217.046,,,0.02,0,,,336.967,258.3,-0.00549316,,,218.243,0.02,,14,104.551,81.5186,0.79,0,0,,,104.233
,28482,49.2324,8.38073,131.27,0.8,,0,,359.989,216.464,,,0.02,0,,,337.198,258.3,-0.00549316,,,217.798,0.01,,14,131.446,108.644,0.8,0,0,,,131.27
,28483,49.2324,8.38073,135.236,0.8,,0,,359.989,216.464,,,0.02,0,,,338.505,258.3,-0.00549316,,,217.798,0.01,,14,135.522,114.027,0.79,0,0,,,135.236
,28484,49.2324,8.38073,134.379,0.8,,0,,359.989,216.222,,,0.01,0,,,338.648,258.3,-0.00549316,,,217.31,0,,14,134.478,113.126,0.79,0,0,,,134.379
,28485,49.2324,8.38073,134.182,0.6,,0,,359.989,216.222,,,0.01,0,,,338.467,258.3,-0.00549316,,,217.31,0,,14,134.308,112.775,0.6,0,0,,,129.183
,28486,49.2324,8.38072,129.183,0.6,,0,,359.989,215.931,,,0.01,0,,,338.637,258.3,-0.00549316,,,216.892,0,,14,129.545,108.182,0.59,0,0,,,129.183
,28487,49.2324,8.38072,123.415,0.5,,0,,359.989,215.931,,,0,0,,,338.714,258.3,-0.00549316,,,216.53,0,,14,124.321,103.035,0.49,0,0,,,123.415
,28488,49.2324,8.38072,121.948,0.5,,0,,359.989,215.87,,,0,0,,,337.511,258.3,-0.00549316,,,216.53,0,,14,122.717,100.228,0.49,0,0,,,121.948
,28489,49.2324,8.38072,111.171,0.5,,0,,359.989,215.87,,,0,0,,,338.159,258.3,-0.00549316,,,89.9945,0,,14,112.423,90.5823,0.49,0,0,,,111.171
,28490,49.2324,8.38073,111.171,0.5,,0,,359.989,215.969,,,0,0,,,338.527,258.3,-0.00549316,,,89.9945,0,,14,112.423,90.9503,0.49,0,0,,,111.171
,28491,49.2324,8.38073,109.907,0.3,,0,,359.989,215.969,,,0,0,,,338.06,258.3,-0.00549316,,,89.9945,0,,14,111.429,89.4891,0.3,0,0,,,109.907
,28492,49.2324,8.38073,109.907,0.3,,0,,359.989,215.837,,,0,0,,,338.61,258.3,-0.00549316,,,89.9945,0,,14,111.429,90.0385,0.3,0,0,,,109.907
,28493,49.2324,8.38073,108.82,0.3,,0,,359.989,215.837,,,0,0,,,338.73,258.3,-0.00549316,,,89.9945,0,,14,109.638,88.3685,0.29,0,0,,,108.82
,28494,49.2324,8.38073,108.82,0.3,,0,,359.989,216.145,,,0,0,,,338.56,258.3,-0.00549316,,,89.9945,0,,14,109.638,88.1982,0.29,0,0,,,108.82
,28495,49.2324,8.38073,113.714,0.1,,0,,359.989,216.145,,,0,0,,,338.154,258.3,-0.00549316,,,89.9945,0,,14,119.042,97.196,0.1,0,0,,,113.714
,28496,49.2324,8.38073,113.714,0.1,,0,,359.989,216.524,,,0,0,,,338.099,258.3,-0.00549316,,,89.9945,0.02,,14,119.042,97.1411,0.1,0,0,,,113.714
,28497,49.2324,8.38073,112.159,0.3,,0,,359.989,216.524,,,0.01,0,,,338.335,258.3,-0.00549316,,,216.194,0.02,,14,113.956,92.2906,0.29,0,0,,,112.159
,28498,49.2323,8.38073,112.159,0.3,,0,,359.989,216.733,,,0.01,0,,,338.654,258.3,-0.00549316,,,216.194,0.01,,14,113.956,92.6093,0.29,0,0,,,112.159
,28499,49.2323,8.38073,112.159,0.3,,0,,359.989,216.733,,,0.01,0,,,338.379,258.3,-0.00549316,,,216.387,0.01,,14,113.956,92.3346,0.29,0,0,,,112.159
,28501,49.2323,8.38073,109.177,0.1,,0,,359.989,216.826,,,0.01,0,,,338.873,258.3,-0.00549316,,,216.387,0.03,,14,113.956,92.829,0.09,0,0,,,109.177
,28502,49.2323,8.38073,109.177,0.1,,0,,359.989,216.826,,,0.01,0,,,338.5,258.3,-0.00549316,,,216.552,0.03,,14,113.956,92.4554,0.09,0,0,,,109.177
,28503,49.2323,8.38073,109.177,0.1,,0,,359.989,217.073,,,0.01,0,,,337.209,258.3,-0.00549316,,,216.552,0.02,,14,113.956,91.1646,0.09,0,0,,,109.177
,28504,49.2323,8.38073,109.177,0.1,,0,,359.989,217.073,,,0.02,0,,,337.445,258.3,-0.00549316,,,216.722,0.02,,14,113.956,91.4008,0.09,0,0,,,109.177
,28505,49.2323,8.38073,109.177,0.1,,0,,359.989,217.293,,,0.02,0,,,337.654,258.3,-0.00549316,,,216.722,0.01,,14,113.956,91.6095,0.09,0,0,,,109.177
,28506,49.2323,8.38073,109.177,0,,0,,359.989,217.293,,,0.01,0,,,337.571,258.3,-0.00549316,,,216.914,0.01,,14,45,22.5714,0,0,0,,,109.177
,28507,49.2323,8.38073,109.177,0,,0,,359.989,217.623,,,0.01,0,,,336.984,258.3,-0.00549316,,,216.914,0.03,,14,45,21.9836,0,0,0,,,109.177
,28508,49.2323,8.38073,109.177,0,,0,,359.989,217.623,,,0.01,0,,,336.484,258.3,-0.00549316,,,217.145,0.03,,14,45,21.4838,0,0,0,,,109.177
,28509,49.2323,8.38073,109.177,0,,0,,359.989,217.919,,,0.01,0,,,337.747,258.3,-0.00549316,,,217.145,0.02,,14,45,22.7472,0,0,0,,,109.177
,28510,49.2323,8.38073,109.177,0,,0,,359.989,217.919,,,0.01,0,,,338.264,258.3,-0.00549316,,,217.408,0.02,,14,45,23.2635,0,0,0,,,109.177
,28511,49.2324,8.38073,109.177,0,,0,,359.989,218.194,,,0.01,0,,,337.566,258.3,-0.00549316,,,217.408,0.03,,14,45,22.5659,0,0,0,,,109.177
