"Tag";"Stunde";"Minute";"Ruderschlaege/Minute";"Segel"
15;10;22;0;0
15;10;23;20;0
15;10;24;24;0
15;10;25;24;0
15;10;26;15;0
15;10;27;25;0
15;10;28;26;0
15;10;29;26;0
15;10;30;26;0
15;10;31;19;0
15;10;32;0;0
15;10;33;0;0
15;10;34;0;0
15;10;35;0;0
15;10;36;13;0
15;10;37;23;0
15;10;38;-15;0
15;10;39;-21;0
15;10;40;-9;0
15;10;41;0;0
15;10;42;0;0
15;10;43;-6;0
15;10;44;25;0
15;10;45;10;0
15;10;46;0;0
15;10;47;0;0
15;10;48;0;0
15;10;49;0;0
15;10;50;0;0
15;10;51;0;1
15;10;52;0;1
15;10;53;0;1
15;10;54;0;1
15;10;55;0;1
15;10;56;0;1
15;10;57;0;1
15;10;58;0;0
15;10;59;-1;0
15;11;0;-15;0
15;11;1;-14;0
15;11;2;-15;0
15;11;3;13;0
15;11;4;27;0
15;11;5;27;0
15;11;6;28;0
15;11;7;27;0
15;11;8;26;0
15;11;9;27;0
15;11;10;27;0
15;11;11;15;0
15;11;12;25;0
15;11;13;17;0
15;11;14;17;0
15;11;15;15;0
15;11;16;11;0
15;11;17;22;0
15;11;18;18;0
15;11;19;24;0
15;11;20;24;0
15;11;21;25;0
15;11;22;24;0
15;11;23;25;0
15;11;24;8;0
15;11;25;16;0
15;11;26;11;0
15;11;27;-17;0
15;11;28;14;0
15;11;29;15;0
15;11;30;0;0
15;11;31;0;0
15;11;32;0;1
15;11;33;0;1
15;11;34;0;1
15;11;35;0;1
15;11;36;0;1
15;11;37;0;1
15;11;38;0;1
15;11;39;0;1
15;11;40;0;1
15;11;41;0;1
15;11;42;0;1
15;11;43;0;1
15;11;44;0;1
15;11;45;0;1
15;11;46;0;1
15;11;47;0;1
15;11;48;0;0
15;11;49;0;0
15;11;50;3;0
15;11;51;22;0
15;11;52;23;0
15;11;53;26;0
15;11;54;25;0
15;11;55;-25;0
15;11;56;-25;0
15;11;57;-25;0
15;11;58;26;0
15;11;59;28;0
15;12;0;11;0
15;12;1;8;0
15;12;2;13;0
15;12;3;0;0
15;12;4;8;0
15;12;5;23;0
15;12;6;25;0
15;12;7;26;0
15;12;8;-8;0
15;12;9;0;0
15;12;10;0;0
15;12;11;0;0
15;12;12;0;0
15;14;40;0;0
15;14;41;3;0
15;14;42;22;0
15;14;43;12;0
15;14;44;24;0
15;14;45;24;0
15;14;46;24;0
15;14;47;17;0
15;14;48;25;0
15;14;49;26;0
15;14;50;25;0
15;14;51;26;0
15;14;52;26;0
15;14;53;15;0
15;14;54;-14;0
15;14;55;-11;0
15;14;56;-18;0
15;14;57;0;0
15;14;58;0;0
15;14;59;0;0
15;15;0;0;1
15;15;1;0;1
15;15;2;0;1
15;15;3;0;1
15;15;4;0;1
15;15;5;0;1
15;15;6;0;1
15;15;7;0;1
15;15;8;0;1
