DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD,MRA,AI01,AI02,AI03,AI04,AI05,AI06
9573,52536,49.5852,10.9704,-123.058,1.3,,0,,359.989,318.389,,,0.05,0,,,217.117,295.89,-0.00549316,,,316.445,0.03,,22,-123.058,94.0594,1.3,0,0,,,236.942,,236.942,236.942,236.942,236.942,236.942,236.942
9573,52536,49.5852,10.9704,-123.151,1.3,,0,,359.989,318.389,,,0.05,0,,,217.277,295.89,-0.00549316,,,316.445,0.03,,22,-123.426,93.8507,1.3,0,0,,,236.849,,236.849,236.849,236.849,236.849,236.849,236.849
9573,52536,49.5852,10.9704,-123.151,1.3,,0,,359.989,318.389,,,0.05,0,,,217.485,295.89,-0.00549316,,,316.445,0.03,,22,-123.426,94.0594,1.3,0,0,,,236.849,,236.849,236.849,236.849,236.849,236.849,236.849
9573,52536,49.5852,10.9704,-123.151,1.3,,0,,359.989,318.389,,,0.05,0,,,217.216,295.89,-0.00549316,,,316.445,0.03,,22,-123.426,93.7903,1.3,0,0,,,236.849,,236.849,236.849,236.849,236.849,236.849,236.849
9573,52536,49.5852,10.9704,-122.992,1.3,,0,,359.989,318.746,,,0.05,0,,,217.216,295.89,-0.00549316,,,316.445,0.02,,22,-123.058,94.4604,1.3,0,0,,,237.008,,237.008,237.008,237.008,237.008,237.008,237.008
9573,52537,49.5852,10.9704,-122.992,1.3,,0,,359.989,318.746,,,0.05,0,,,217.518,295.89,-0.00549316,,,316.445,0.02,,22,-123.058,94.2902,1.3,0,0,,,237.008,,237.008,237.008,237.008,237.008,237.008,237.008
9573,52537,49.5852,10.9704,-122.992,1.3,,0,,359.989,318.746,,,0.05,0,,,217.469,295.89,-0.00549316,,,316.445,0.02,,22,-123.239,94.2297,1.11,0,0,,,237.008,,237.008,237.008,237.008,237.008,237.008,237.008
9573,52537,49.5852,10.9704,-123.157,1.1,,0,,359.989,318.746,,,0.05,0,,,217.469,295.89,-0.00549316,,,316.445,0.02,,22,-123.239,94.0045,1.11,0,0,,,236.843,,236.843,236.843,236.843,236.843,236.843,236.843
9573,52537,49.5852,10.9704,-123.157,1.1,,0,,359.989,318.746,,,0.05,0,,,217.244,295.89,-0.00549316,,,316.445,0.02,,22,-123.239,94.0045,1.11,0,0,,,236.843,,236.843,236.843,236.843,236.843,236.843,236.843
9573,52537,49.5852,10.9704,-123.157,1.1,,0,,359.989,318.746,,,0.05,0,,,217.507,295.89,-0.00549316,,,316.445,0.02,,22,-123.239,94.2682,1.11,0,0,,,236.843,,236.843,236.843,236.843,236.843,236.843,236.843
9573,52537,49.5852,10.9704,-123.157,1.1,,0,,359.989,318.746,,,0.04,0,,,217.139,295.89,-0.00549316,,,317.313,0.02,,22,-123.239,93.9001,1.11,0,0,,,236.816,,236.816,236.816,236.816,236.816,236.816,236.816
9573,52538,49.5852,10.9704,-123.184,1.1,,0,,359.989,318.746,,,0.04,0,,,217.601,295.89,-0.00549316,,,317.313,0.02,,22,-123.239,93.999,1.11,0,0,,,236.816,,236.816,236.816,236.816,236.816,236.816,236.816
9573,52538,49.5852,10.9704,-123.184,1.1,,0,,359.989,318.746,,,0.04,0,,,217.458,295.89,-0.00549316,,,317.313,0.02,,22,-123.239,94.2188,1.11,0,0,,,236.816,,236.816,236.816,236.816,236.816,236.816,236.816
